period,district,amount,amount_rs_cr,disbursed_by_bank,disbursement_pending,out_of_a_disburded_by_bank_no,out_of_a_disbursed_by_bank_no,out_of_a_only_approved_by_bank_disbursement_no,out_of_a_only_approved_by_bank_disbursement_pending_no,out_of_a_only_disbursed_by_bank_no,out_of_a_rejected_d,out_of_a_rejected_no,out_of_a_sanctioned_by_bank,out_of_a_sanctioned_by_bank_no,out_of_a_sanctioned_no,pending_at_bank_level_verified_by_pmu_stcb,pending_at_bank_level_verified_by_pmu_stcb_no,rejected,total_application_submitted_to,total_application_submitted_to_bank_a,total_no_of_applications_submitted_to_bank_a
December 2024,Cooch Behar,,4.22,,,,96.0,,18.0,,236.0,,,114.0,,,17.0,,,367.0,
December 2024,Dakshin Dinajpur,,2.1,,,,41.0,,11.0,,87.0,,,52.0,,,22.0,,,161.0,
December 2024,Darjeeling,,3.82,,,,34.0,,7.0,,115.0,,,41.0,,,6.0,,,162.0,
December 2024,Hooghly,,28.41,,,,557.0,,38.0,,162.0,,,595.0,,,40.0,,,797.0,
December 2024,Howrah,,4.19,,,,65.0,,5.0,,55.0,,,70.0,,,10.0,,,135.0,
December 2024,Jalpaiguri,,19.49,,,,53.0,,4.0,,121.0,,,57.0,,,9.0,,,187.0,
December 2024,Jhargram,,5.19,,,,58.0,,5.0,,84.0,,,63.0,,,22.0,,,169.0,
December 2024,Kalimpong,,0.12,,,,6.0,,2.0,,6.0,,,8.0,,,10.0,,,24.0,
December 2024,Kolkata,,6.53,,,,17.0,,6.0,,10.0,,,23.0,,,4.0,,,37.0,
December 2024,Malda,,10.55,,,,101.0,,26.0,,321.0,,,127.0,,,76.0,,,524.0,
December 2024,Murshidabad,,7.32,,,,168.0,,56.0,,849.0,,,224.0,,,76.0,,,1149.0,
December 2024,Nadia,,5.69,,,,44.0,,9.0,,191.0,,,53.0,,,10.0,,,254.0,
December 2024,North 24 Parganas,,13.44,,,,102.0,,21.0,,366.0,,,123.0,,,26.0,,,515.0,
December 2024,Paschim Bardhaman,,2.84,,,,243.0,,11.0,,19.0,,,254.0,,,6.0,,,279.0,
December 2024,Paschim Medinipur,,16.0,,,,495.0,,40.0,,262.0,,,535.0,,,49.0,,,846.0,
December 2024,Purba Bardhaman,,22.02,,,,808.0,,46.0,,299.0,,,854.0,,,31.0,,,1184.0,
December 2024,Purba Medinipur,,29.18,,,,134.0,,17.0,,311.0,,,151.0,,,56.0,,,518.0,
December 2024,Purulia,,1.96,,,,49.0,,10.0,,116.0,,,59.0,,,22.0,,,197.0,
December 2024,South 24 Parganas,,5.5,,,,94.0,,12.0,,160.0,,,106.0,,,19.0,,,285.0,
December 2024,Uttar Dinajpur,,6.02,,,,71.0,,10.0,,131.0,,,81.0,,,19.0,,,231.0,
June 2023,Alipurduar,,2.22,,,32.0,,8.0,,,64.0,,,40.0,,,6.0,,,110.0,
June 2023,Bankura,,6.41,,,136.0,,5.0,,,65.0,,,141.0,,,11.0,,,217.0,
June 2023,Birbhum,,3.52,,,38.0,,5.0,,,40.0,,,43.0,,,7.0,,,90.0,
June 2023,Cooch Behar,,8.29,,,33.0,,6.0,,,105.0,,,39.0,,,7.0,,,151.0,
June 2023,Darjeeling,,9.4,,,10.0,,2.0,,,43.0,,,12.0,,,15.0,,,70.0,
June 2023,Hooghly,,5.72,,,183.0,,11.0,,,52.0,,,194.0,,,8.0,,,254.0,
June 2023,Howrah,,7.62,,,16.0,,4.0,,,12.0,,,20.0,,,5.0,,,37.0,
June 2023,Jalpaiguri,,13.95,,,21.0,,2.0,,,67.0,,,23.0,,,8.0,,,98.0,
June 2023,Jhargram,,0.73,,,16.0,,1.0,,,26.0,,,17.0,,,6.0,,,49.0,
June 2023,Kalimpong,,0.07,,,2.0,,0.0,,,2.0,,,2.0,,,1.0,,,5.0,
June 2023,Kolkata,,0.0,,,1.0,,1.0,,,1.0,,,2.0,,,0.0,,,3.0,
June 2023,Malda,,8.45,,,38.0,,2.0,,,139.0,,,40.0,,,14.0,,,193.0,
June 2023,Murshidabad,,4.83,,,71.0,,13.0,,,328.0,,,84.0,,,19.0,,,431.0,
June 2023,Nadia,,4.88,,,32.0,,9.0,,,119.0,,,41.0,,,9.0,,,169.0,
June 2023,Paschim Bardhaman,,0.0,,,33.0,,5.0,,,6.0,,,38.0,,,0.0,,,44.0,
June 2023,Purba Bardhaman,,15.65,,,206.0,,15.0,,,93.0,,,221.0,,,13.0,,,327.0,
June 2023,Purulia,,5.37,,,20.0,,4.0,,,60.0,,,24.0,,,3.0,,,87.0,
June 2024,Alipurduar,,,43.0,5.0,,,,,,,,48.0,,,0.0,,84.0,132.0,,
June 2024,Bankura,,,289.0,22.0,,,,,,,,311.0,,,29.0,,256.0,596.0,,
June 2024,Birbhum,,,147.0,29.0,,,,,,,,176.0,,,23.0,,161.0,360.0,,
June 2024,Cooch Behar,,,69.0,12.0,,,,,,,,81.0,,,6.0,,210.0,297.0,,
June 2024,Dakshin Dinajpur,,,23.0,3.0,,,,,,,,26.0,,,4.0,,64.0,94.0,,
June 2024,Darjeeling,,,28.0,11.0,,,,,,,,39.0,,,1.0,,113.0,153.0,,
June 2024,Hooghly,,,372.0,72.0,,,,,,,,444.0,,,16.0,,131.0,591.0,,
June 2024,Howrah,,,48.0,7.0,,,,,,,,55.0,,,13.0,,45.0,113.0,,
June 2024,Jalpaiguri,,,39.0,8.0,,,,,,,,47.0,,,5.0,,113.0,165.0,,
June 2024,Jhargram,,,28.0,14.0,,,,,,,,42.0,,,1.0,,63.0,106.0,,
June 2024,Kalimpong,,,6.0,0.0,,,,,,,,6.0,,,0.0,,6.0,12.0,,
June 2024,Kolkata,,,14.0,6.0,,,,,,,,20.0,,,1.0,,7.0,28.0,,
June 2024,Malda,,,87.0,16.0,,,,,,,,103.0,,,10.0,,282.0,395.0,,
June 2024,Murshidabad,,,154.0,41.0,,,,,,,,195.0,,,8.0,,671.0,874.0,,
June 2024,Nadia,,,40.0,9.0,,,,,,,,49.0,,,8.0,,183.0,240.0,,
June 2024,North 24 Parganas,,,81.0,22.0,,,,,,,,103.0,,,5.0,,348.0,456.0,,
June 2024,Paschim Bardhaman,,,149.0,5.0,,,,,,,,154.0,,,5.0,,16.0,175.0,,
June 2024,Paschim Medinipur,,,274.0,85.0,,,,,,,,359.0,,,11.0,,206.0,576.0,,
June 2024,Purba Bardhaman,,,512.0,65.0,,,,,,,,577.0,,,29.0,,229.0,835.0,,
June 2024,Purba Medinipur,,,100.0,26.0,,,,,,,,126.0,,,26.0,,268.0,420.0,,
June 2024,Purulia,,,44.0,5.0,,,,,,,,49.0,,,4.0,,97.0,150.0,,
June 2024,South 24 Parganas,,,58.0,17.0,,,,,,,,75.0,,,6.0,,148.0,229.0,,
June 2024,Uttar Dinajpur,,,45.0,9.0,,,,,,,,54.0,,,14.0,,103.0,171.0,,
June 2025,Alipurduar,,0.09,,,,63.0,,3.0,,,107.0,,66.0,,,1.0,,,,174.0
June 2025,Bankura,,15.13,,,,567.0,,37.0,,,496.0,,604.0,,,68.0,,,,1168.0
June 2025,Birbhum,,12.3,,,,376.0,,50.0,,,288.0,,426.0,,,43.0,,,,757.0
June 2025,Cooch Behar,,2.03,,,,138.0,,20.0,,,346.0,,158.0,,,9.0,,,,513.0
June 2025,Dakshin Dinajpur,,1.9,,,,80.0,,2.0,,,126.0,,82.0,,,10.0,,,,218.0
June 2025,Darjeeling,,0.01,,,,30.0,,5.0,,,115.0,,35.0,,,1.0,,,,151.0
June 2025,Hooghly,,24.6,,,,727.0,,36.0,,,218.0,,763.0,,,21.0,,,,1002.0
June 2025,Howrah,,10.22,,,,97.0,,6.0,,,70.0,,103.0,,,11.0,,,,184.0
June 2025,Jalpaiguri,,24.16,,,,79.0,,7.0,,,134.0,,86.0,,,21.0,,,,241.0
June 2025,Jhargram,,1.92,,,,115.0,,13.0,,,123.0,,128.0,,,8.0,,,,259.0
June 2025,Kalimpong,,0.0,,,,12.0,,0.0,,,16.0,,12.0,,,0.0,,,,28.0
June 2025,Kolkata,,5.0,,,,5.0,,0.0,,,7.0,,5.0,,,2.0,,,,14.0
June 2025,Malda,,7.01,,,,173.0,,20.0,,,414.0,,193.0,,,22.0,,,,629.0
June 2025,Murshidabad,,8.0,,,,242.0,,51.0,,,972.0,,293.0,,,28.0,,,,1293.0
June 2025,Nadia,,5.35,,,,62.0,,10.0,,,207.0,,72.0,,,7.0,,,,286.0
June 2025,North 24 Parganas,,7.87,,,,130.0,,21.0,,,431.0,,151.0,,,15.0,,,,597.0
June 2025,Paschim Bardhaman,,6.46,,,,251.0,,14.0,,,24.0,,265.0,,,7.0,,,,296.0
June 2025,Paschim Medinipur,,13.18,,,,641.0,,66.0,,,300.0,,707.0,,,39.0,,,,1046.0
June 2025,Purba Bardhaman,,21.13,,,,1224.0,,52.0,,,413.0,,1276.0,,,67.0,,,,1756.0
June 2025,Purba Medinipur,,26.1,,,,195.0,,16.0,,,367.0,,211.0,,,36.0,,,,614.0
June 2025,Purulia,,0.21,,,,60.0,,7.0,,,138.0,,67.0,,,3.0,,,,208.0
June 2025,South 24 Parganas,,6.63,,,,153.0,,23.0,,,205.0,,176.0,,,8.0,,,,389.0
June 2025,Uttar Dinajpur,,19.23,,,,107.0,,14.0,,,202.0,,121.0,,,28.0,,,,351.0
March 2024,Alipurduar,,0.0,,,,43.0,,5.0,,81.0,,,48.0,,,0.0,,,129.0,
March 2024,Bankura,,25.06,,,,244.0,,20.0,,184.0,,,264.0,,,54.0,,,502.0,
March 2024,Birbhum,,12.0,,,,100.0,,38.0,,124.0,,,138.0,,,37.0,,,299.0,
March 2024,Cooch Behar,,9.8,,,,63.0,,15.0,,190.0,,,78.0,,,15.0,,,283.0,
March 2024,Dakshin Dinajpur,,3.42,,,,23.0,,0.0,,56.0,,,23.0,,,5.0,,,84.0,
March 2024,Darjeeling,,0.29,,,,26.0,,9.0,,111.0,,,35.0,,,3.0,,,149.0,
March 2024,Hooghly,,12.93,,,,341.0,,50.0,,108.0,,,391.0,,,31.0,,,530.0,
March 2024,Howrah,,5.04,,,,41.0,,10.0,,38.0,,,51.0,,,15.0,,,104.0,
March 2024,Jalpaiguri,,1.13,,,,36.0,,9.0,,106.0,,,45.0,,,7.0,,,158.0,
March 2024,Jhargram,,4.93,,,,28.0,,4.0,,42.0,,,32.0,,,23.0,,,97.0,
March 2024,Kalimpong,,0.0,,,,5.0,,1.0,,6.0,,,6.0,,,0.0,,,12.0,
March 2024,Kolkata,,2.26,,,,12.0,,6.0,,6.0,,,18.0,,,2.0,,,26.0,
March 2024,Malda,,7.09,,,,77.0,,21.0,,269.0,,,98.0,,,18.0,,,385.0,
March 2024,Murshidabad,,5.03,,,,149.0,,49.0,,649.0,,,198.0,,,17.0,,,864.0,
March 2024,Nadia,,17.57,,,,39.0,,8.0,,179.0,,,47.0,,,12.0,,,238.0,
March 2024,North 24 Parganas,,4.32,,,,73.0,,22.0,,341.0,,,95.0,,,7.0,,,443.0,
March 2024,Paschim Bardhaman,,6.31,,,,90.0,,16.0,,12.0,,,106.0,,,11.0,,,129.0,
March 2024,Paschim Medinipur,,15.45,,,,256.0,,33.0,,147.0,,,289.0,,,62.0,,,498.0,
March 2024,Purba Bardhaman,,20.37,,,,422.0,,74.0,,188.0,,,496.0,,,36.0,,,720.0,
March 2024,Purba Medinipur,,9.14,,,,92.0,,20.0,,242.0,,,112.0,,,26.0,,,380.0,
March 2024,Purulia,,0.44,,,,40.0,,6.0,,93.0,,,46.0,,,5.0,,,144.0,
March 2024,South 24 Parganas,,6.61,,,,54.0,,14.0,,131.0,,,68.0,,,22.0,,,221.0,
March 2024,Uttar Dinajpur,,2.75,,,,28.0,,21.0,,83.0,,,49.0,,,7.0,,,139.0,
March 2025,Alipurduar,,0.82,,,,51.0,,3.0,,91.0,,,54.0,,,3.0,,,148.0,
March 2025,Bankura,,21.68,,,,497.0,,14.0,,413.0,,,511.0,,,95.0,,,1019.0,
March 2025,Birbhum,,19.73,,,,307.0,,86.0,,252.0,,,393.0,,,64.0,,,709.0,
March 2025,Cooch Behar,,3.41,,,,126.0,,19.0,,300.0,,,145.0,,,16.0,,,461.0,
March 2025,Dakshin Dinajpur,,3.25,,,,66.0,,7.0,,109.0,,,73.0,,,16.0,,,198.0,
March 2025,Darjeeling,,20.63,,,,39.0,,8.0,,118.0,,,47.0,,,5.0,,,170.0,
March 2025,Hooghly,,31.66,,,,674.0,,48.0,,196.0,,,722.0,,,56.0,,,974.0,
March 2025,Howrah,,7.99,,,,72.0,,9.0,,64.0,,,81.0,,,10.0,,,155.0,
March 2025,Jalpaiguri,,2.68,,,,61.0,,3.0,,130.0,,,64.0,,,8.0,,,202.0,
March 2025,Jhargram,,2.95,,,,83.0,,9.0,,98.0,,,92.0,,,12.0,,,202.0,
March 2025,Kalimpong,,0.0,,,,9.0,,1.0,,16.0,,,10.0,,,1.0,,,27.0,
March 2025,Kolkata,,4.69,,,,21.0,,7.0,,14.0,,,28.0,,,5.0,,,47.0,
March 2025,Malda,,8.31,,,,142.0,,35.0,,382.0,,,177.0,,,36.0,,,595.0,
March 2025,Murshidabad,,10.06,,,,215.0,,61.0,,941.0,,,276.0,,,43.0,,,1260.0,
March 2025,Nadia,,15.27,,,,57.0,,10.0,,200.0,,,67.0,,,11.0,,,278.0,
March 2025,North 24 Parganas,,10.48,,,,123.0,,23.0,,416.0,,,146.0,,,19.0,,,581.0,
March 2025,Paschim Bardhaman,,4.92,,,,277.0,,6.0,,24.0,,,283.0,,,6.0,,,313.0,
March 2025,Paschim Medinipur,,18.15,,,,610.0,,43.0,,291.0,,,653.0,,,51.0,,,995.0,
March 2025,Purba Bardhaman,,30.18,,,,974.0,,91.0,,334.0,,,1065.0,,,112.0,,,1511.0,
March 2025,Purba Medinipur,,27.64,,,,153.0,,29.0,,336.0,,,182.0,,,49.0,,,567.0,
March 2025,Purulia,,0.37,,,,60.0,,7.0,,135.0,,,67.0,,,6.0,,,208.0,
March 2025,South 24 Parganas,,7.35,,,,134.0,,16.0,,184.0,,,150.0,,,24.0,,,358.0,
March 2025,Uttar Dinajpur,,21.04,,,,92.0,,18.0,,171.0,,,110.0,,,37.0,,,318.0,
September 2024,Alipurduar,,0.3,,,,45.0,,4.0,,84.0,,,49.0,,,2.0,,,135.0,
September 2024,Bankura,,18.1,,,,342.0,,34.0,,311.0,,,376.0,,,63.0,,,750.0,
September 2024,Birbhum,,10.81,,,,186.0,,35.0,,182.0,,,221.0,,,38.0,,,441.0,
September 2024,Cooch Behar,,4.68,,,,75.0,,14.0,,226.0,,,89.0,,,20.0,,,335.0,
September 2024,Dakshin Dinajpur,,3.53,,,,32.0,,2.0,,71.0,,,34.0,,,17.0,,,122.0,
September 2024,Darjeeling,,0.6,,,,33.0,,8.0,,113.0,,,41.0,,,3.0,,,157.0,
September 2024,Hooghly,,20.58,,,,486.0,,41.0,,145.0,,,527.0,,,43.0,,,715.0,
September 2024,Howrah,,4.32,,,,58.0,,9.0,,52.0,,,67.0,,,11.0,,,130.0,
September 2024,Jalpaiguri,,0.0,,,,46.0,,6.0,,119.0,,,52.0,,,0.0,,,171.0,
September 2024,Jhargram,,4.15,,,,50.0,,2.0,,69.0,,,52.0,,,14.0,,,135.0,
September 2024,Kalimpong,,0.0,,,,6.0,,1.0,,6.0,,,7.0,,,1.0,,,14.0,
September 2024,Kolkata,,1.2,,,,17.0,,5.0,,8.0,,,22.0,,,1.0,,,31.0,
September 2024,Malda,,10.45,,,,94.0,,18.0,,292.0,,,112.0,,,29.0,,,433.0,
September 2024,Murshidabad,,9.66,,,,159.0,,41.0,,678.0,,,200.0,,,85.0,,,963.0,
September 2024,Nadia,,11.39,,,,41.0,,10.0,,184.0,,,51.0,,,13.0,,,248.0,
September 2024,North 24 Parganas,,18.95,,,,95.0,,16.0,,355.0,,,111.0,,,17.0,,,483.0,
September 2024,Paschim Bardhaman,,7.35,,,,198.0,,10.0,,19.0,,,208.0,,,10.0,,,237.0,
September 2024,Paschim Medinipur,,14.96,,,,395.0,,46.0,,222.0,,,441.0,,,54.0,,,717.0,
September 2024,Purba Bardhaman,,18.83,,,,657.0,,65.0,,253.0,,,722.0,,,53.0,,,1028.0,
September 2024,Purba Medinipur,,24.76,,,,124.0,,12.0,,289.0,,,136.0,,,33.0,,,458.0,
September 2024,Purulia,,0.05,,,,48.0,,4.0,,103.0,,,52.0,,,1.0,,,156.0,
September 2024,South 24 Parganas,,8.49,,,,76.0,,13.0,,151.0,,,89.0,,,17.0,,,257.0,
September 2024,Uttar Dinajpur,,5.03,,,,57.0,,10.0,,112.0,,,67.0,,,15.0,,,194.0,
September 2025,Alipurduar,2.24,,,,,,,4.0,63.0,,107.0,,,67.0,,2.0,,,,176.0
September 2025,Bankura,32.68,,,,,,,66.0,656.0,,564.0,,,722.0,,137.0,,,,1423.0
September 2025,Birbhum,19.55,,,,,,,83.0,430.0,,331.0,,,513.0,,91.0,,,,935.0
September 2025,Cooch Behar,1.23,,,,,,,21.0,140.0,,363.0,,,161.0,,6.0,,,,530.0
September 2025,Dakshin Dinajpur,6.48,,,,,,,11.0,87.0,,149.0,,,98.0,,30.0,,,,277.0
September 2025,Darjeeling,0.49,,,,,,,5.0,32.0,,116.0,,,37.0,,3.0,,,,156.0
September 2025,Hooghly,28.27,,,,,,,46.0,813.0,,242.0,,,859.0,,63.0,,,,1164.0
September 2025,Howrah,10.08,,,,,,,6.0,103.0,,74.0,,,109.0,,11.0,,,,194.0
September 2025,Jalpaiguri,0.87,,,,,,,6.0,87.0,,162.0,,,93.0,,11.0,,,,266.0
September 2025,Jhargram,5.65,,,,,,,12.0,131.0,,131.0,,,143.0,,23.0,,,,297.0
September 2025,Kalimpong,0.0,,,,,,,0.0,12.0,,16.0,,,12.0,,0.0,,,,28.0
September 2025,Kolkata,2.0,,,,,,,1.0,6.0,,7.0,,,7.0,,1.0,,,,15.0
September 2025,Malda,4.68,,,,,,,26.0,186.0,,425.0,,,212.0,,17.0,,,,654.0
September 2025,Murshidabad,6.38,,,,,,,55.0,262.0,,984.0,,,317.0,,33.0,,,,1334.0
September 2025,Nadia,5.76,,,,,,,12.0,73.0,,214.0,,,85.0,,8.0,,,,307.0
September 2025,North 24 Parganas,9.47,,,,,,,22.0,140.0,,445.0,,,162.0,,22.0,,,,629.0
September 2025,Paschim Bardhaman,8.83,,,,,,,20.0,277.0,,31.0,,,297.0,,15.0,,,,343.0
September 2025,Paschim Medinipur,24.46,,,,,,,45.0,724.0,,324.0,,,769.0,,84.0,,,,1177.0
September 2025,Purba Bardhaman,28.82,,,,,,,102.0,1359.0,,478.0,,,1461.0,,112.0,,,,2051.0
September 2025,Purba Medinipur,23.78,,,,,,,17.0,212.0,,387.0,,,229.0,,32.0,,,,648.0
September 2025,Purulia,0.82,,,,,,,10.0,61.0,,145.0,,,71.0,,3.0,,,,219.0
September 2025,South 24 Parganas,4.95,,,,,,,16.0,170.0,,209.0,,,186.0,,15.0,,,,410.0
September 2025,Uttar Dinajpur,16.37,,,,,,,19.0,121.0,,228.0,,,140.0,,42.0,,,,410.0
