period,district,achievement_no_wise,amount,amount_wise,app_pending_no,coir_board_no_of_unit,dic_no_of_unit,disbursement_made_by_nodal_branches_no_of,disbursement_no,emp,forwarded_no,forwarded_to_bank_no,forwarded_to_bank_no_of_prj,forwarded_to_banks_no,kvib_no_of_unit,kvic_no_of_unit,margin_money_claimed_no_of,mm,mm_claimed,mm_claimed_no,mm_disb_pending_no,mm_disbursed_no,mm_disbursement_no,mm_involve,of_achievement_mm_disbursed_no,pending_at_bank_no,pending_for_mm_disb_no,pending_mm_disb_no,pending_no,rejected_by_bank_no,rejected_no,returned_by_bank_no,returned_no,row,rs_in_lac_no_of_unit,sanctioned_by_bank_no,sanctioned_by_bank_no_of,sanctioned_no,sponsored_in_fy_2023_24_no,sponsored_no,target_2020_21_no,target_for_2023_24_no,total_no_of_unit
March 2021,Jhargram,9.33,0.33,14.01,11.0,,,,,,,35.0,,,,,,,7.0,,,7.0,,,,,,,,,,,22.0,,,,,6.0,,,75.0,,
March 2021,Kalimpong,14.29,0.66,11.47,22.0,,,,,,,50.0,,,,,,,6.0,,,5.0,,,,,,,,,,,24.0,,,,,6.0,,,35.0,,
March 2021,Kolkata,3.0,1.13,1.61,58.0,,,,,,,169.0,,,,,,,11.0,,,9.0,,,,,,,,,,,99.0,,,,,16.0,,,300.0,,
March 2021,Malda,54.29,2.03,55.5,62.0,,,,,,,249.0,,,,,,,58.0,,,57.0,,,,,,,,,,,146.0,,,,,51.0,,,105.0,,
March 2021,Murshidabad,124.24,7.97,140.63,209.0,,,,,,,989.0,,,,,,,214.0,,,205.0,,,,,,,,,,,631.0,,,,,170.0,,,165.0,,
March 2021,Nadia,53.33,5.52,110.34,150.0,,,,,,,692.0,,,,,,,85.0,,,80.0,,,,,,,,,,,509.0,,,,,58.0,,,150.0,,
March 2021,North 24 Parganas,85.6,16.01,104.78,635.0,,,,,,,2102.0,,,,,,,221.0,,,214.0,,,,,,,,,,,1321.0,,,,,173.0,,,250.0,,
March 2021,Paschim Bardhaman,3.7,0.26,4.02,18.0,,,,,,,41.0,,,,,,,6.0,,,5.0,,,,,,,,,,,18.0,,,,,5.0,,,135.0,,
March 2021,Paschim Medinipur,67.97,6.09,81.02,133.0,,,,,,,438.0,,,,,,,88.0,,,87.0,,,,,,,,,,,254.0,,,,,70.0,,,128.0,,
March 2021,Purulia,42.67,1.44,62.08,31.0,,,,,,,224.0,,,,,,,33.0,,,32.0,,,,,,,,,,,176.0,,,,,27.0,,,75.0,,
March 2021,South 24 Parganas,68.39,15.62,84.89,431.0,,,,,,,1359.0,,,,,,,135.0,,,132.0,,,,,,,,,,,822.0,,,,,109.0,,,193.0,,
March 2021,Uttar Dinajpur,18.67,1.01,12.37,34.0,,,,,,,128.0,,,,,,,15.0,,,14.0,,,,,,,,,,,84.0,,,,,13.0,,,75.0,,
September 2017,Alipurduar,,,,,,,15.0,,,,,199.0,,,,19.0,41.69,,,,,,26.62,,,,,,,,,,1.0,,,10.0,,,,,,
September 2017,Bankura,,,,,,,55.0,,,,,415.0,,,,74.0,122.42,,,,,,212.1,,,,,,,,,,2.0,,,83.0,,,,,,
September 2017,Birbhum,,,,,,,17.0,,,,,202.0,,,,18.0,31.83,,,,,,114.04,,,,,,,,,,4.0,,,56.0,,,,,,
September 2017,Cooch Behar,,,,,,,14.0,,,,,638.0,,,,16.0,29.39,,,,,,38.68,,,,,,,,,,5.0,,,18.0,,,,,,
September 2017,Dakshin Dinajpur,,,,,,,27.0,,,,,133.0,,,,21.0,76.4,,,,,,150.48,,,,,,,,,,19.0,,,41.0,,,,,,
September 2017,Darjeeling,,,,,,,4.0,,,,,145.0,,,,4.0,10.17,,,,,,13.94,,,,,,,,,,6.0,,,3.0,,,,,,
September 2017,Hooghly,,,,,,,9.0,,,,,257.0,,,,8.0,28.87,,,,,,26.12,,,,,,,,,,7.0,,,16.0,,,,,,
September 2017,Howrah,,,,,,,7.0,,,,,176.0,,,,9.0,17.01,,,,,,33.14,,,,,,,,,,8.0,,,15.0,,,,,,
September 2017,Jalpaiguri,,,,,,,1.0,,,,,324.0,,,,1.0,1.05,,,,,,9.06,,,,,,,,,,9.0,,,2.0,,,,,,
September 2017,Kolkata,,,,,,,2.0,,,,,42.0,,,,1.0,8.03,,,,,,16.74,,,,,,,,,,10.0,,,3.0,,,,,,
September 2017,Malda,,,,,,,4.0,,,,,102.0,,,,4.0,4.9,,,,,,19.19,,,,,,,,,,11.0,,,17.0,,,,,,
September 2017,Murshidabad,,,,,,,14.0,,,,,885.0,,,,16.0,22.63,,,,,,83.54,,,,,,,,,,13.0,,,30.0,,,,,,
September 2017,Nadia,,,,,,,28.0,,,,,222.0,,,,30.0,122.5,,,,,,111.75,,,,,,,,,,14.0,,,29.0,,,,,,
September 2017,Paschim Medinipur,,,,,,,3.0,,,,,274.0,,,,3.0,12.16,,,,,,54.78,,,,,,,,,,17.0,,,32.0,,,,,,
September 2017,Purulia,,,,,,,3.0,,,,,72.0,,,,3.0,16.27,,,,,,24.35,,,,,,,,,,18.0,,,10.0,,,,,,
September 2017,Uttar Dinajpur,,,,,,,7.0,,,,,49.0,,,,6.0,33.29,,,,,,8.05,,,,,,,,,,15.0,,,1.0,,,,,,
September 2019,Alipurduar,,,,,,,,,,,385.0,,,,,,0.0,,11.0,,10.0,,,,,,0.0,143.0,,232.0,,,,,,,6.0,,,,,
September 2019,Bankura,,,,,,,,,,,77.0,,,,,,0.0,,30.0,,28.0,,,,,,0.0,61.0,,7.0,,,,,,,23.0,,,,,
September 2019,Birbhum,,,,,,,,,,,123.0,,,,,,0.0,,20.0,,17.0,,,,,,0.0,84.0,,21.0,,,,,,,18.0,,,,,
September 2019,Cooch Behar,,,,,,,,,,,491.0,,,,,,1.75,,34.0,,31.0,,,,,,1.0,287.0,,187.0,,,,,,,24.0,,,,,
September 2019,Dakshin Dinajpur,,,,,,,,,,,88.0,,,,,,0.0,,22.0,,24.0,,,,,,0.0,61.0,,16.0,,,,,,,16.0,,,,,
September 2019,Darjeeling,,,,,,,,,,,71.0,,,,,,0.0,,30.0,,26.0,,,,,,0.0,62.0,,7.0,,,,,,,20.0,,,,,
September 2019,Hooghly,,,,,,,,,,,50.0,,,,,,1.4,,22.0,,20.0,,,,,,1.0,14.0,,29.0,,,,,,,13.0,,,,,
September 2019,Howrah,,,,,,,,,,,152.0,,,,,,0.0,,27.0,,28.0,,,,,,0.0,117.0,,22.0,,,,,,,26.0,,,,,
September 2019,Jalpaiguri,,,,,,,,,,,59.0,,,,,,0.0,,4.0,,4.0,,,,,,0.0,39.0,,19.0,,,,,,,8.0,,,,,
September 2019,Kalimpong,,,,,,,,,,,2.0,,,,,,0.0,,7.0,,8.0,,,,,,0.0,2.0,,0.0,,,,,,,7.0,,,,,
September 2019,Kolkata,,,,,,,,,,,122.0,,,,,,2.25,,8.0,,5.0,,,,,,1.0,62.0,,57.0,,,,,,,3.0,,,,,
September 2019,Malda,,,,,,,,,,,113.0,,,,,,0.0,,9.0,,9.0,,,,,,0.0,66.0,,38.0,,,,,,,11.0,,,,,
September 2019,Murshidabad,,,,,,,,,,,862.0,,,,,,7.83,,76.0,,74.0,,,,,,1.0,632.0,,171.0,,,,,,,78.0,,,,,
September 2019,Nadia,,,,,,,,,,,135.0,,,,,,0.0,,51.0,,48.0,,,,,,0.0,53.0,,51.0,,,,,,,47.0,,,,,
September 2019,Paschim Bardhaman,,,,,,,,,,,59.0,,,,,,0.0,,2.0,,2.0,,,,,,0.0,36.0,,21.0,,,,,,,1.0,,,,,
September 2019,Paschim Medinipur,,,,,,,,,,,,,,,,,1.25,,25.0,,23.0,,,,,,1.0,198.0,,45.0,,,,,,,10.0,,,,,
September 2019,Purulia,,,,,,,,,,,151.0,,,,,,0.0,,20.0,,14.0,,,,,,0.0,143.0,,2.0,,,,,,,13.0,,,,,
September 2019,Uttar Dinajpur,,,,,,,,,,,21.0,,,,,,0.0,,2.0,,1.0,,,,,,0.0,13.0,,8.0,,,,,,,0.0,,,,,
September 2020,Alipurduar,,,,,,,,,,,205.0,,,,,,0.11,,,,30.0,,,,46.0,2.0,,,,,97.0,,,,64.0,,,,,,,
September 2020,Bankura,,,,,,,,,,,80.0,,,,,,0.0,,,,24.0,,,,47.0,0.0,,,,,28.0,,,,16.0,,,,,,,
September 2020,Birbhum,,,,,,,,,,,83.0,,,,,,0.01,,,,26.0,,,,17.0,1.0,,,,,43.0,,,,29.0,,,,,,,
September 2020,Cooch Behar,,,,,,,,,,,292.0,,,,,,0.0,,,,28.0,,,,96.0,0.0,,,,,165.0,,,,36.0,,,,,,,
September 2020,Dakshin Dinajpur,,,,,,,,,,,72.0,,,,,,0.0,,,,10.0,,,,21.0,0.0,,,,,37.0,,,,15.0,,,,,,,
September 2020,Darjeeling,,,,,,,,,,,109.0,,,,,,0.0,,,,25.0,,,,58.0,0.0,,,,,33.0,,,,24.0,,,,,,,
September 2020,Hooghly,,,,,,,,,,,10.0,,,,,,0.0,,,,6.0,,,,1.0,0.0,,,,,6.0,,,,8.0,,,,,,,
September 2020,Howrah,,,,,,,,,,,55.0,,,,,,0.0,,,,13.0,,,,24.0,0.0,,,,,25.0,,,,4.0,,,,,,,
September 2020,Jalpaiguri,,,,,,,,,,,239.0,,,,,,0.0,,,,6.0,,,,112.0,0.0,,,,,110.0,,,,17.0,,,,,,,
September 2020,Jhargram,,,,,,,,,,,5.0,,,,,,0.0,,,,4.0,,,,2.0,0.0,,,,,3.0,,,,4.0,,,,,,,
September 2020,Kalimpong,,,,,,,,,,,10.0,,,,,,0.0,,,,0.0,,,,5.0,0.0,,,,,5.0,,,,3.0,,,,,,,
September 2020,Kolkata,,,,,,,,,,,69.0,,,,,,0.0,,,,1.0,,,,28.0,0.0,,,,,25.0,,,,17.0,,,,,,,
September 2020,Malda,,,,,,,,,,,108.0,,,,,,0.0,,,,20.0,,,,43.0,0.0,,,,,45.0,,,,23.0,,,,,,,
September 2020,Murshidabad,,,,,,,,,,,371.0,,,,,,0.0,,,,60.0,,,,136.0,0.0,,,,,173.0,,,,40.0,,,,,,,
September 2020,Nadia,,,,,,,,,,,76.0,,,,,,0.0,,,,62.0,,,,27.0,0.0,,,,,28.0,,,,45.0,,,,,,,
September 2020,North 24 Parganas,,,,,,,,,,,775.0,,,,,,0.11,,,,66.0,,,,273.0,4.0,,,,,447.0,,,,42.0,,,,,,,
September 2020,Paschim Bardhaman,,,,,,,,,,,19.0,,,,,,0.0,,,,4.0,,,,8.0,0.0,,,,,9.0,,,,2.0,,,,,,,
September 2020,Paschim Medinipur,,,,,,,,,,,83.0,,,,,,0.0,,,,28.0,,,,39.0,0.0,,,,,32.0,,,,17.0,,,,,,,
September 2020,Purulia,,,,,,,,,,,92.0,,,,,,0.06,,,,8.0,,,,50.0,1.0,,,,,33.0,,,,14.0,,,,,,,
September 2020,South 24 Parganas,,,,,,,,,,,395.0,,,,,,0.09,,,,36.0,,,,177.0,1.0,,,,,179.0,,,,57.0,,,,,,,
September 2020,Uttar Dinajpur,,,,,,,,,,,26.0,,,,,,0.0,,,,2.0,,,,16.0,0.0,,,,,10.0,,,,5.0,,,,,,,
