period,district,31_03_2022,31_03_2023,31_03_2024,31_03_2025,amnt,amount,disbursement_during_fy_during_fy_2022_23,during_fy_2021_22,during_fy_2022_23,during_fy_2023_24,during_fy_2024_25,kcc_disbursed_fresh_renewal_in_2016_17_no,kcc_disbursement_during_01_04_2019_to_30_06_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_30_09_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_31_03_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2019_to_31_12_2019_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_30_09_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_31_03_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2020_to_31_12_2020_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_30_06_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_30_09_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_31_03_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2021_to_31_12_2021_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_30_06_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_30_09_2022_fresh_renewal_no,kcc_disbursement_during_01_04_2022_to_31_03_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_30_06_2023_fresh_renewal_no,kcc_disbursement_during_01_04_2023_to_31_03_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_31_03_2025_fresh_renewal_no,kcc_disbursement_during_01_04_2024_to_31_12_2024_fresh_renewal_no,kcc_disbursement_during_01_04_2025_to_30_09_2025_fresh_renewal_no,kcc_disbursement_during_01_04_2025_to_31_12_2025_fresh_renewal_no,kcc_disbursement_during_fy_2018_19_no,kcc_disbursement_during_fy_2020_21,kcc_disbursement_during_fy_2021_22,kcc_outstanding_31_03_2021,kcc_outstanding_31_03_2022,kcc_outstanding_as_on_30_06_2020_no,kcc_outstanding_as_on_30_06_2021_no,kcc_outstanding_as_on_30_06_2022_no,kcc_outstanding_as_on_30_06_2023_no,kcc_outstanding_as_on_30_09_2021_no,kcc_outstanding_as_on_30_09_2022_no,kcc_outstanding_as_on_30_09_2025_no,kcc_outstanding_as_on_31_03_2017_no,kcc_outstanding_as_on_31_03_2021_no,kcc_outstanding_as_on_31_03_2022_no,kcc_outstanding_as_on_31_03_2023_no,kcc_outstanding_as_on_31_03_2024_no,kcc_outstanding_as_on_31_03_2025_no,kcc_outstanding_as_on_31_12_2020_no,kcc_outstanding_as_on_31_12_2021_no,kcc_outstanding_as_on_31_12_2024_no,kcc_outstanding_as_on_31_12_2025_no,no_of_farming_family,of_achievement_no,outstanding_as_on_31_03_2023,target_no,total_kcc_active_as_on_31_03_2017_as_reported_by_ldm_no,total_kcc_dormant_as_on_31_03_2017_as_reported_by_ldm_no,total_kcc_generated
December 2024,Hooghly,,,,,,1971.25,,,,,,,,,,,,,,,,,,,,,,,,274223.0,,,,,,,,,,,,,,,,,,,,,,,358966.0,,,69.42,,395000.0,,,
December 2024,Howrah,,,,,,562.72,,,,,,,,,,,,,,,,,,,,,,,,55927.0,,,,,,,,,,,,,,,,,,,,,,,75060.0,,,58.87,,95000.0,,,
December 2024,Jalpaiguri,,,,,,842.32,,,,,,,,,,,,,,,,,,,,,,,,41676.0,,,,,,,,,,,,,,,,,,,,,,,76546.0,,,104.19,,40000.0,,,
December 2024,Jhargram,,,,,,345.73,,,,,,,,,,,,,,,,,,,,,,,,67138.0,,,,,,,,,,,,,,,,,,,,,,,103198.0,,,122.07,,55000.0,,,
December 2024,Kalimpong,,,,,,188.65,,,,,,,,,,,,,,,,,,,,,,,,22294.0,,,,,,,,,,,,,,,,,,,,,,,24828.0,,,222.94,,10000.0,,,
December 2024,Kolkata,,,,,,162.14,,,,,,,,,,,,,,,,,,,,,,,,1282.0,,,,,,,,,,,,,,,,,,,,,,,2730.0,,,,,0.0,,,
December 2024,Malda,,,,,,1034.1,,,,,,,,,,,,,,,,,,,,,,,,117751.0,,,,,,,,,,,,,,,,,,,,,,,137149.0,,,107.05,,110000.0,,,
December 2024,Murshidabad,,,,,,1348.54,,,,,,,,,,,,,,,,,,,,,,,,124530.0,,,,,,,,,,,,,,,,,,,,,,,228321.0,,,131.08,,95000.0,,,
December 2024,Nadia,,,,,,1901.05,,,,,,,,,,,,,,,,,,,,,,,,133902.0,,,,,,,,,,,,,,,,,,,,,,,296541.0,,,121.73,,110000.0,,,
December 2024,North 24 Parganas,,,,,,1182.69,,,,,,,,,,,,,,,,,,,,,,,,130710.0,,,,,,,,,,,,,,,,,,,,,,,262787.0,,,56.83,,230000.0,,,
December 2024,Paschim Bardhaman,,,,,,632.86,,,,,,,,,,,,,,,,,,,,,,,,73979.0,,,,,,,,,,,,,,,,,,,,,,,168016.0,,,295.92,,25000.0,,,
December 2024,Paschim Medinipur,,,,,,1759.55,,,,,,,,,,,,,,,,,,,,,,,,221169.0,,,,,,,,,,,,,,,,,,,,,,,361186.0,,,90.27,,245000.0,,,
December 2024,Purba Bardhaman,,,,,,1871.36,,,,,,,,,,,,,,,,,,,,,,,,126449.0,,,,,,,,,,,,,,,,,,,,,,,359982.0,,,45.16,,280000.0,,,
December 2024,Purba Medinipur,,,,,,2445.49,,,,,,,,,,,,,,,,,,,,,,,,506519.0,,,,,,,,,,,,,,,,,,,,,,,653234.0,,,67.54,,750000.0,,,
December 2024,Purulia,,,,,,535.23,,,,,,,,,,,,,,,,,,,,,,,,48350.0,,,,,,,,,,,,,,,,,,,,,,,131795.0,,,138.14,,35000.0,,,
December 2024,South 24 Parganas,,,,,,1032.35,,,,,,,,,,,,,,,,,,,,,,,,140867.0,,,,,,,,,,,,,,,,,,,,,,,200278.0,,,82.86,,170000.0,,,
December 2024,Uttar Dinajpur,,,,,,717.7,,,,,,,,,,,,,,,,,,,,,,,,42933.0,,,,,,,,,,,,,,,,,,,,,,,148543.0,,,78.06,,55000.0,,,
December 2025,Alipurduar,,,,,,448.32,,,,,,,,,,,,,,,,,,,,,,,,,,33792.0,,,,,,,,,,,,,,,,,,,,,,50186.0,,87.77,,38500.0,,,
December 2025,Bankura,,,,,,858.34,,,,,,,,,,,,,,,,,,,,,,,,,,89798.0,,,,,,,,,,,,,,,,,,,,,,193370.0,,45.35,,198000.0,,,
December 2025,Birbhum,,,,,,793.31,,,,,,,,,,,,,,,,,,,,,,,,,,86406.0,,,,,,,,,,,,,,,,,,,,,,252087.0,,36.0,,240000.0,,,
December 2025,Cooch Behar,,,,,,1662.01,,,,,,,,,,,,,,,,,,,,,,,,,,51156.0,,,,,,,,,,,,,,,,,,,,,,180521.0,,26.92,,190000.0,,,
December 2025,Dakshin Dinajpur,,,,,,538.53,,,,,,,,,,,,,,,,,,,,,,,,,,49275.0,,,,,,,,,,,,,,,,,,,,,,132870.0,,42.85,,115000.0,,,
December 2025,Darjeeling,,,,,,158.55,,,,,,,,,,,,,,,,,,,,,,,,,,7427.0,,,,,,,,,,,,,,,,,,,,,,22842.0,,40.15,,18500.0,,,
December 2025,Hooghly,,,,,,1772.85,,,,,,,,,,,,,,,,,,,,,,,,,,237973.0,,,,,,,,,,,,,,,,,,,,,,335492.0,,60.25,,395000.0,,,
December 2025,Howrah,,,,,,768.24,,,,,,,,,,,,,,,,,,,,,,,,,,41699.0,,,,,,,,,,,,,,,,,,,,,,125842.0,,43.89,,95000.0,,,
December 2025,Jalpaiguri,,,,,,1071.63,,,,,,,,,,,,,,,,,,,,,,,,,,33921.0,,,,,,,,,,,,,,,,,,,,,,92149.0,,84.8,,40000.0,,,
December 2025,Jhargram,,,,,,270.51,,,,,,,,,,,,,,,,,,,,,,,,,,25800.0,,,,,,,,,,,,,,,,,,,,,,65360.0,,46.91,,55000.0,,,
December 2025,Kalimpong,,,,,,42.58,,,,,,,,,,,,,,,,,,,,,,,,,,2603.0,,,,,,,,,,,,,,,,,,,,,,6918.0,,26.03,,10000.0,,,
December 2025,Kolkata,,,,,,283.91,,,,,,,,,,,,,,,,,,,,,,,,,,431.0,,,,,,,,,,,,,,,,,,,,,,527.0,,,,0.0,,,
December 2025,Malda,,,,,,697.13,,,,,,,,,,,,,,,,,,,,,,,,,,77904.0,,,,,,,,,,,,,,,,,,,,,,141150.0,,70.82,,110000.0,,,
December 2025,Murshidabad,,,,,,1160.75,,,,,,,,,,,,,,,,,,,,,,,,,,81853.0,,,,,,,,,,,,,,,,,,,,,,223782.0,,86.16,,95000.0,,,
December 2025,Nadia,,,,,,1440.5,,,,,,,,,,,,,,,,,,,,,,,,,,98072.0,,,,,,,,,,,,,,,,,,,,,,261200.0,,89.16,,110000.0,,,
December 2025,North 24 Parganas,,,,,,1261.59,,,,,,,,,,,,,,,,,,,,,,,,,,108313.0,,,,,,,,,,,,,,,,,,,,,,278552.0,,47.09,,230000.0,,,
December 2025,Paschim Bardhaman,,,,,,512.51,,,,,,,,,,,,,,,,,,,,,,,,,,32716.0,,,,,,,,,,,,,,,,,,,,,,141932.0,,130.86,,25000.0,,,
December 2025,Paschim Medinipur,,,,,,1952.0,,,,,,,,,,,,,,,,,,,,,,,,,,197865.0,,,,,,,,,,,,,,,,,,,,,,402374.0,,80.76,,245000.0,,,
December 2025,Purba Bardhaman,,,,,,2053.18,,,,,,,,,,,,,,,,,,,,,,,,,,161022.0,,,,,,,,,,,,,,,,,,,,,,420888.0,,57.51,,280000.0,,,
December 2025,Purba Medinipur,,,,,,2404.22,,,,,,,,,,,,,,,,,,,,,,,,,,520924.0,,,,,,,,,,,,,,,,,,,,,,779049.0,,69.46,,750000.0,,,
December 2025,Purulia,,,,,,441.35,,,,,,,,,,,,,,,,,,,,,,,,,,35473.0,,,,,,,,,,,,,,,,,,,,,,136941.0,,101.35,,35000.0,,,
December 2025,South 24 Parganas,,,,,,1167.5,,,,,,,,,,,,,,,,,,,,,,,,,,113003.0,,,,,,,,,,,,,,,,,,,,,,210494.0,,66.47,,170000.0,,,
December 2025,Uttar Dinajpur,,,,,,908.09,,,,,,,,,,,,,,,,,,,,,,,,,,54484.0,,,,,,,,,,,,,,,,,,,,,,203404.0,,99.06,,55000.0,,,
June 2019,Alipurduar,,,,,,19.69,,,,,,,3036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,,50000.0,,,
June 2019,Bankura,,,,,,62.16,,,,,,,25262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04,,140000.0,,,
June 2019,Birbhum,,,,,,52.8,,,,,,,8072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,,165000.0,,,
June 2019,Cooch Behar,,,,,,44.97,,,,,,,5740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74,,100000.0,,,
June 2019,Dakshin Dinajpur,,,,,,55.76,,,,,,,8539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76,,110000.0,,,
June 2019,Darjeeling,,,,,,3.13,,,,,,,1325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,70000.0,,,
June 2019,Hooghly,,,,,,99.2,,,,,,,19091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79,,245000.0,,,
June 2019,Howrah,,,,,,72.94,,,,,,,13852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.79,,70000.0,,,
June 2019,Jalpaiguri,,,,,,30.68,,,,,,,5647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.41,,60000.0,,,
June 2019,Jhargram,,,,,,83.27,,,,,,,34384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.19,,95000.0,,,
June 2019,Kalimpong,,,,,,0.19,,,,,,,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,20000.0,,,
June 2019,Kolkata,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
June 2019,Malda,,,,,,101.66,,,,,,,30005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,,210000.0,,,
June 2019,Murshidabad,,,,,,62.83,,,,,,,14677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.87,,250000.0,,,
June 2019,Nadia,,,,,,57.58,,,,,,,11884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,,280000.0,,,
June 2019,North 24 Parganas,,,,,,116.85,,,,,,,18243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,240000.0,,,
June 2019,Paschim Bardhaman,,,,,,19.92,,,,,,,13855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.86,,100000.0,,,
June 2019,Paschim Medinipur,,,,,,324.0,,,,,,,139120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.88,,310000.0,,,
June 2019,Purba Bardhaman,,,,,,169.04,,,,,,,51331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.01,,270000.0,,,
June 2019,Purba Medinipur,,,,,,486.57,,,,,,,191192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.93,,290000.0,,,
June 2019,Purulia,,,,,,27.91,,,,,,,8321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55,,150000.0,,,
June 2019,South 24 Parganas,,,,,,123.96,,,,,,,44087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.72,,165000.0,,,
June 2019,Uttar Dinajpur,,,,,,34.91,,,,,,,5007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,,110000.0,,,
June 2021,Alipurduar,,,,,,259.79,,,,,,,,,,,,,,3554.0,,,,,,,,,,,,,,,,,,,43865.0,,,,,,,,,,,,,,,,,9.23,,38500.0,,,
June 2021,Bankura,,,,,,788.52,,,,,,,,,,,,,,4723.0,,,,,,,,,,,,,,,,,,,175435.0,,,,,,,,,,,,,,,,,2.39,,198000.0,,,
June 2021,Birbhum,,,,,,757.9,,,,,,,,,,,,,,103127.0,,,,,,,,,,,,,,,,,,,192050.0,,,,,,,,,,,,,,,,,42.97,,240000.0,,,
June 2021,Cooch Behar,,,,,,784.96,,,,,,,,,,,,,,13820.0,,,,,,,,,,,,,,,,,,,177819.0,,,,,,,,,,,,,,,,,7.27,,190000.0,,,
June 2021,Dakshin Dinajpur,,,,,,986.47,,,,,,,,,,,,,,5265.0,,,,,,,,,,,,,,,,,,,197599.0,,,,,,,,,,,,,,,,,4.58,,115000.0,,,
June 2021,Darjeeling,,,,,,101.18,,,,,,,,,,,,,,953.0,,,,,,,,,,,,,,,,,,,18646.0,,,,,,,,,,,,,,,,,5.15,,18500.0,,,
June 2021,Hooghly,,,,,,1012.5,,,,,,,,,,,,,,35873.0,,,,,,,,,,,,,,,,,,,193937.0,,,,,,,,,,,,,,,,,9.08,,395000.0,,,
June 2021,Howrah,,,,,,360.29,,,,,,,,,,,,,,17553.0,,,,,,,,,,,,,,,,,,,73773.0,,,,,,,,,,,,,,,,,18.48,,95000.0,,,
June 2021,Jalpaiguri,,,,,,464.67,,,,,,,,,,,,,,7033.0,,,,,,,,,,,,,,,,,,,90326.0,,,,,,,,,,,,,,,,,17.58,,40000.0,,,
June 2021,Jhargram,,,,,,248.72,,,,,,,,,,,,,,13437.0,,,,,,,,,,,,,,,,,,,54947.0,,,,,,,,,,,,,,,,,24.43,,55000.0,,,
June 2021,Kalimpong,,,,,,32.81,,,,,,,,,,,,,,617.0,,,,,,,,,,,,,,,,,,,8691.0,,,,,,,,,,,,,,,,,6.17,,10000.0,,,
June 2021,Kolkata,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,
June 2021,Malda,,,,,,369.9,,,,,,,,,,,,,,24616.0,,,,,,,,,,,,,,,,,,,88959.0,,,,,,,,,,,,,,,,,22.38,,110000.0,,,
June 2021,Murshidabad,,,,,,206.52,,,,,,,,,,,,,,32786.0,,,,,,,,,,,,,,,,,,,67333.0,,,,,,,,,,,,,,,,,34.51,,95000.0,,,
June 2021,Nadia,,,,,,815.56,,,,,,,,,,,,,,21733.0,,,,,,,,,,,,,,,,,,,173351.0,,,,,,,,,,,,,,,,,19.76,,110000.0,,,
June 2021,North 24 Parganas,,,,,,1010.59,,,,,,,,,,,,,,30105.0,,,,,,,,,,,,,,,,,,,273483.0,,,,,,,,,,,,,,,,,13.09,,230000.0,,,
June 2021,Paschim Bardhaman,,,,,,94.48,,,,,,,,,,,,,,3809.0,,,,,,,,,,,,,,,,,,,16811.0,,,,,,,,,,,,,,,,,15.24,,25000.0,,,
June 2021,Paschim Medinipur,,,,,,1812.04,,,,,,,,,,,,,,12678.0,,,,,,,,,,,,,,,,,,,363211.0,,,,,,,,,,,,,,,,,5.17,,245000.0,,,
June 2021,Purba Bardhaman,,,,,,1417.64,,,,,,,,,,,,,,60776.0,,,,,,,,,,,,,,,,,,,351225.0,,,,,,,,,,,,,,,,,21.71,,280000.0,,,
June 2021,Purba Medinipur,,,,,,1650.19,,,,,,,,,,,,,,271394.0,,,,,,,,,,,,,,,,,,,427379.0,,,,,,,,,,,,,,,,,36.19,,750000.0,,,
June 2021,Purulia,,,,,,234.37,,,,,,,,,,,,,,5012.0,,,,,,,,,,,,,,,,,,,98372.0,,,,,,,,,,,,,,,,,14.32,,35000.0,,,
June 2021,South 24 Parganas,,,,,,2755.78,,,,,,,,,,,,,,34101.0,,,,,,,,,,,,,,,,,,,555378.0,,,,,,,,,,,,,,,,,20.06,,170000.0,,,
June 2021,Uttar Dinajpur,,,,,,1159.09,,,,,,,,,,,,,,11007.0,,,,,,,,,,,,,,,,,,,309069.0,,,,,,,,,,,,,,,,,20.01,,55000.0,,,
June 2022,Alipurduar,,,,,,227.85,,,,,,,,,,,,,,,,,,4062.0,,,,,,,,,,,,,,,,29625.0,,,,,,,,,,,,,,,,10.55,,38500.0,,,
June 2022,Bankura,,,,,,814.01,,,,,,,,,,,,,,,,,,51640.0,,,,,,,,,,,,,,,,163186.0,,,,,,,,,,,,,,,,26.08,,198000.0,,,
June 2022,Birbhum,,,,,,825.6,,,,,,,,,,,,,,,,,,30564.0,,,,,,,,,,,,,,,,179017.0,,,,,,,,,,,,,,,,12.74,,240000.0,,,
June 2022,Cooch Behar,,,,,,1346.68,,,,,,,,,,,,,,,,,,11256.0,,,,,,,,,,,,,,,,191539.0,,,,,,,,,,,,,,,,5.92,,190000.0,,,
June 2022,Dakshin Dinajpur,,,,,,580.57,,,,,,,,,,,,,,,,,,19033.0,,,,,,,,,,,,,,,,106027.0,,,,,,,,,,,,,,,,16.55,,115000.0,,,
June 2022,Darjeeling,,,,,,132.87,,,,,,,,,,,,,,,,,,4438.0,,,,,,,,,,,,,,,,25664.0,,,,,,,,,,,,,,,,23.99,,18500.0,,,
June 2022,Hooghly,,,,,,1577.26,,,,,,,,,,,,,,,,,,36190.0,,,,,,,,,,,,,,,,340217.0,,,,,,,,,,,,,,,,9.16,,395000.0,,,
June 2022,Howrah,,,,,,364.64,,,,,,,,,,,,,,,,,,6852.0,,,,,,,,,,,,,,,,79527.0,,,,,,,,,,,,,,,,7.21,,95000.0,,,
June 2022,Jalpaiguri,,,,,,640.52,,,,,,,,,,,,,,,,,,11742.0,,,,,,,,,,,,,,,,86298.0,,,,,,,,,,,,,,,,29.36,,40000.0,,,
June 2022,Jhargram,,,,,,357.34,,,,,,,,,,,,,,,,,,1015.0,,,,,,,,,,,,,,,,74772.0,,,,,,,,,,,,,,,,1.85,,55000.0,,,
June 2022,Kalimpong,,,,,,97.7,,,,,,,,,,,,,,,,,,217.0,,,,,,,,,,,,,,,,10922.0,,,,,,,,,,,,,,,,2.17,,10000.0,,,
June 2022,Kolkata,,,,,,9.53,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,463.0,,,,,,,,,,,,,,,,,,0.0,,,
June 2022,Malda,,,,,,870.61,,,,,,,,,,,,,,,,,,27618.0,,,,,,,,,,,,,,,,225861.0,,,,,,,,,,,,,,,,25.11,,110000.0,,,
June 2022,Murshidabad,,,,,,713.44,,,,,,,,,,,,,,,,,,48537.0,,,,,,,,,,,,,,,,143102.0,,,,,,,,,,,,,,,,51.09,,95000.0,,,
June 2022,Nadia,,,,,,1118.4,,,,,,,,,,,,,,,,,,21451.0,,,,,,,,,,,,,,,,201722.0,,,,,,,,,,,,,,,,19.5,,110000.0,,,
June 2022,North 24 Parganas,,,,,,1496.01,,,,,,,,,,,,,,,,,,14938.0,,,,,,,,,,,,,,,,314384.0,,,,,,,,,,,,,,,,6.49,,230000.0,,,
June 2022,Paschim Bardhaman,,,,,,85.59,,,,,,,,,,,,,,,,,,11097.0,,,,,,,,,,,,,,,,12964.0,,,,,,,,,,,,,,,,44.39,,25000.0,,,
June 2022,Paschim Medinipur,,,,,,1496.6,,,,,,,,,,,,,,,,,,170316.0,,,,,,,,,,,,,,,,296737.0,,,,,,,,,,,,,,,,69.52,,245000.0,,,
June 2022,Purba Bardhaman,,,,,,2549.24,,,,,,,,,,,,,,,,,,58177.0,,,,,,,,,,,,,,,,530143.0,,,,,,,,,,,,,,,,20.78,,280000.0,,,
June 2022,Purba Medinipur,,,,,,2111.55,,,,,,,,,,,,,,,,,,326844.0,,,,,,,,,,,,,,,,594799.0,,,,,,,,,,,,,,,,43.58,,750000.0,,,
June 2022,Purulia,,,,,,292.43,,,,,,,,,,,,,,,,,,15449.0,,,,,,,,,,,,,,,,113542.0,,,,,,,,,,,,,,,,44.14,,35000.0,,,
June 2022,South 24 Parganas,,,,,,1284.82,,,,,,,,,,,,,,,,,,36714.0,,,,,,,,,,,,,,,,323722.0,,,,,,,,,,,,,,,,21.6,,170000.0,,,
June 2022,Uttar Dinajpur,,,,,,1086.32,,,,,,,,,,,,,,,,,,12894.0,,,,,,,,,,,,,,,,309877.0,,,,,,,,,,,,,,,,23.44,,55000.0,,,
June 2023,Alipurduar,,,,,,180.85,,,,,,,,,,,,,,,,,,,,,4398.0,,,,,,,,,,,,,,26625.0,,,,,,,,,,,,,,,11.42,,38500.0,,,
June 2023,Bankura,,,,,,614.01,,,,,,,,,,,,,,,,,,,,,42821.0,,,,,,,,,,,,,,163186.0,,,,,,,,,,,,,,,21.63,,198000.0,,,
June 2023,Birbhum,,,,,,828.89,,,,,,,,,,,,,,,,,,,,,35460.0,,,,,,,,,,,,,,249955.0,,,,,,,,,,,,,,,14.78,,240000.0,,,
June 2023,Cooch Behar,,,,,,839.21,,,,,,,,,,,,,,,,,,,,,11559.0,,,,,,,,,,,,,,162231.0,,,,,,,,,,,,,,,6.08,,190000.0,,,
June 2023,Dakshin Dinajpur,,,,,,395.06,,,,,,,,,,,,,,,,,,,,,33072.0,,,,,,,,,,,,,,108454.0,,,,,,,,,,,,,,,28.76,,115000.0,,,
June 2023,Darjeeling,,,,,,133.82,,,,,,,,,,,,,,,,,,,,,5392.0,,,,,,,,,,,,,,25968.0,,,,,,,,,,,,,,,29.15,,18500.0,,,
June 2023,Hooghly,,,,,,1610.39,,,,,,,,,,,,,,,,,,,,,29772.0,,,,,,,,,,,,,,340635.0,,,,,,,,,,,,,,,7.54,,395000.0,,,
June 2023,Howrah,,,,,,341.26,,,,,,,,,,,,,,,,,,,,,13359.0,,,,,,,,,,,,,,54856.0,,,,,,,,,,,,,,,14.06,,95000.0,,,
June 2023,Jalpaiguri,,,,,,540.52,,,,,,,,,,,,,,,,,,,,,11742.0,,,,,,,,,,,,,,86298.0,,,,,,,,,,,,,,,29.36,,40000.0,,,
June 2023,Jhargram,,,,,,88.15,,,,,,,,,,,,,,,,,,,,,9443.0,,,,,,,,,,,,,,22619.0,,,,,,,,,,,,,,,17.17,,55000.0,,,
June 2023,Kalimpong,,,,,,64.39,,,,,,,,,,,,,,,,,,,,,514.0,,,,,,,,,,,,,,10350.0,,,,,,,,,,,,,,,5.14,,10000.0,,,
June 2023,Kolkata,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,178.0,,,,,,,,,,,,,,,,,0.0,,,
June 2023,Malda,,,,,,659.67,,,,,,,,,,,,,,,,,,,,,27771.0,,,,,,,,,,,,,,143102.0,,,,,,,,,,,,,,,25.25,,110000.0,,,
June 2023,Murshidabad,,,,,,713.44,,,,,,,,,,,,,,,,,,,,,48537.0,,,,,,,,,,,,,,144897.0,,,,,,,,,,,,,,,51.09,,95000.0,,,
June 2023,Nadia,,,,,,2485.0,,,,,,,,,,,,,,,,,,,,,14521.0,,,,,,,,,,,,,,254849.0,,,,,,,,,,,,,,,13.2,,110000.0,,,
June 2023,North 24 Parganas,,,,,,1200.64,,,,,,,,,,,,,,,,,,,,,36616.0,,,,,,,,,,,,,,373458.0,,,,,,,,,,,,,,,15.92,,230000.0,,,
June 2023,Paschim Bardhaman,,,,,,185.1,,,,,,,,,,,,,,,,,,,,,3062.0,,,,,,,,,,,,,,15436.0,,,,,,,,,,,,,,,12.25,,25000.0,,,
June 2023,Paschim Medinipur,,,,,,1820.21,,,,,,,,,,,,,,,,,,,,,54830.0,,,,,,,,,,,,,,482555.0,,,,,,,,,,,,,,,22.38,,245000.0,,,
June 2023,Purba Bardhaman,,,,,,2302.53,,,,,,,,,,,,,,,,,,,,,26959.0,,,,,,,,,,,,,,306563.0,,,,,,,,,,,,,,,9.63,,280000.0,,,
June 2023,Purba Medinipur,,,,,,1690.03,,,,,,,,,,,,,,,,,,,,,290298.0,,,,,,,,,,,,,,582522.0,,,,,,,,,,,,,,,38.71,,750000.0,,,
June 2023,Purulia,,,,,,321.42,,,,,,,,,,,,,,,,,,,,,12982.0,,,,,,,,,,,,,,120286.0,,,,,,,,,,,,,,,37.09,,35000.0,,,
June 2023,South 24 Parganas,,,,,,1291.04,,,,,,,,,,,,,,,,,,,,,37714.0,,,,,,,,,,,,,,323078.0,,,,,,,,,,,,,,,22.18,,170000.0,,,
June 2023,Uttar Dinajpur,,,,,,1022.32,,,,,,,,,,,,,,,,,,,,,12894.0,,,,,,,,,,,,,,246008.0,,,,,,,,,,,,,,,23.44,,55000.0,,,
June 2024,Alipurduar,,94402.0,65151.0,,,,,,31573.0,26435.0,,,,,,,,,,,,,,,,,,,,,,,,,24782.0,,47003.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Bankura,,174432.0,198842.0,,,,,,169126.0,120035.0,,,,,,,,,,,,,,,,,,,,,,,,,151205.0,,165474.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Birbhum,,245080.0,244111.0,,,,,,89665.0,118294.0,,,,,,,,,,,,,,,,,,,,,,,,,201149.0,,228706.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Cooch Behar,,162231.0,170478.0,,,,,,154180.0,80545.0,,,,,,,,,,,,,,,,,,,,,,,,,158373.0,,200143.0,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Dakshin Dinajpur,,107952.0,99754.0,,,,,,84311.0,51629.0,,,,,,,,,,,,,,,,,,,,,,,,,77537.0,,110792.0,,,,,,,,,,,,,,,,,,,,,,,,
