period,district,2020_21,2021_22,2022_23,2023_24,2024_25,31_03_2023,31_03_2024,a_chievement_as_on_dec_19_disbursement_no,achievement_as_on_dec_19_sanction_no,achievement_disbursement_no,achievement_sanction_no,amount,amt,amt_in_cr,average,average_disb_rs_in_lakh,average_disburse_ment_in_lakh,average_disbursement,average_disbursement_amount,average_disbursement_amount_in_lakh,average_disbursement_amt_in_lakh,average_disbursement_in_lakh,average_ticket_size_31_03_2022,disbursed_no,disbursement_during_fy_2020_21,disbursement_during_the_fy_2019_20,disbursement_during_the_fy_2022_23,disbursement_no,disbursement_upto_dec25_no,no,nrlm_target_for_2019_20,of_achievement,of_achievement_disbursement_no,of_achievement_no,of_disbursement_against_slbc_target_no,outsanding_loans_as_on_dec_25_no,outstanding_amount,outstanding_as_on_31_03_2022,outstanding_no,pending_no,pending_shg_no,sanction_no,sanctioned_no,sanctioned_upto_dec25_no,target_2020_21_no,target_2021_22,target_2021_22_no,target_2022_23_no,target_2023_24_no,target_2024_25_no,target_for_2019_20_disbursement_no,target_for_2020_21_no,target_fy_2025_26_no,target_no,total_app_submitted,total_application_submitted,total_disbursed_no,total_disbursement,total_disbursement_no,total_outsanding_no,total_outstanding,total_outstanding_no,total_sanction_no,total_sanctioned,total_sanctioned_no
December 2025,Alipurduar,,,,,,,,,,,,,74.87,,,,2.53,,,,,,,,,,,,22601.0,,,,,,,25524.0,,,,,,,,13962.0,,,,,,,,,25454.0,,,,,,,,,,,,
December 2025,Bankura,,,,,,,,,,,,,58.48,,,,2.08,,,,,,,,,,,,50842.0,,,,,,,62260.0,,,,,,,,23431.0,,,,,,,,,58226.0,,,,,,,,,,,,
December 2025,Birbhum,,,,,,,,,,,,,77.08,,,,2.46,,,,,,,,,,,,60074.0,,,,,,,69071.0,,,,,,,,32176.0,,,,,,,,,63945.0,,,,,,,,,,,,
December 2025,Cooch Behar,,,,,,,,,,,,,89.12,,,,2.75,,,,,,,,,,,,52337.0,,,,,,,58720.0,,,,,,,,29868.0,,,,,,,,,53915.0,,,,,,,,,,,,
December 2025,Dakshin Dinajpur,,,,,,,,,,,,,73.35,,,,2.15,,,,,,,,,,,,24040.0,,,,,,,28383.0,,,,,,,,10203.0,,,,,,,,,23524.0,,,,,,,,,,,,
December 2025,Darjeeling,,,,,,,,,,,,,159.57,,,,3.25,,,,,,,,,,,,10893.0,,,,,,,12096.0,,,,,,,,4654.0,,,,,,,,,5024.0,,,,,,,,,,,,
December 2025,Hooghly,,,,,,,,,,,,,73.18,,,,2.7,,,,,,,,,,,,46735.0,,,,,,,54334.0,,,,,,,,31956.0,,,,,,,,,37582.0,,,,,,,,,,,,
December 2025,Howrah,,,,,,,,,,,,,73.99,,,,2.47,,,,,,,,,,,,34919.0,,,,,,,39416.0,,,,,,,,23112.0,,,,,,,,,38810.0,,,,,,,,,,,,
December 2025,Jalpaiguri,,,,,,,,,,,,,76.81,,,,2.24,,,,,,,,,,,,34413.0,,,,,,,40137.0,,,,,,,,21186.0,,,,,,,,,33523.0,,,,,,,,,,,,
December 2025,Jhargram,,,,,,,,,,,,,58.41,,,,2.53,,,,,,,,,,,,14856.0,,,,,,,20007.0,,,,,,,,16695.0,,,,,,,,,21400.0,,,,,,,,,,,,
December 2025,Kalimpong,,,,,,,,,,,,,122.33,,,,4.08,,,,,,,,,,,,3114.0,,,,,,,3654.0,,,,,,,,1793.0,,,,,,,,,2443.0,,,,,,,,,,,,
December 2025,Kolkata,,,,,,,,,,,,,0.0,,,,1.93,,,,,,,,,,,,866.0,,,,,,,3639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2025,Malda,,,,,,,,,,,,,65.03,,,,2.09,,,,,,,,,,,,57351.0,,,,,,,67160.0,,,,,,,,38537.0,,,,,,,,,61359.0,,,,,,,,,,,,
December 2025,Murshidabad,,,,,,,,,,,,,52.89,,,,2.04,,,,,,,,,,,,71120.0,,,,,,,88757.0,,,,,,,,41625.0,,,,,,,,,83563.0,,,,,,,,,,,,
December 2025,Nadia,,,,,,,,,,,,,57.1,,,,2.23,,,,,,,,,,,,54028.0,,,,,,,67482.0,,,,,,,,21673.0,,,,,,,,,70285.0,,,,,,,,,,,,
December 2025,North 24 Parganas,,,,,,,,,,,,,69.44,,,,2.18,,,,,,,,,,,,67463.0,,,,,,,83783.0,,,,,,,,33418.0,,,,,,,,,70671.0,,,,,,,,,,,,
December 2025,Paschim Bardhaman,,,,,,,,,,,,,70.37,,,,2.48,,,,,,,,,,,,10331.0,,,,,,,12964.0,,,,,,,,6498.0,,,,,,,,,12154.0,,,,,,,,,,,,
December 2025,Paschim Medinipur,,,,,,,,,,,,,108.05,,,,3.66,,,,,,,,,,,,56982.0,,,,,,,70154.0,,,,,,,,39256.0,,,,,,,,,51603.0,,,,,,,,,,,,
December 2025,Purba Bardhaman,,,,,,,,,,,,,73.48,,,,2.72,,,,,,,,,,,,54650.0,,,,,,,70083.0,,,,,,,,30394.0,,,,,,,,,63180.0,,,,,,,,,,,,
December 2025,Purba Medinipur,,,,,,,,,,,,,128.33,,,,4.24,,,,,,,,,,,,66188.0,,,,,,,84603.0,,,,,,,,35247.0,,,,,,,,,72818.0,,,,,,,,,,,,
December 2025,Purulia,,,,,,,,,,,,,38.11,,,,1.53,,,,,,,,,,,,31837.0,,,,,,,43014.0,,,,,,,,15106.0,,,,,,,,,37509.0,,,,,,,,,,,,
December 2025,South 24 Parganas,,,,,,,,,,,,,79.51,,,,2.75,,,,,,,,,,,,75962.0,,,,,,,91827.0,,,,,,,,26032.0,,,,,,,,,70019.0,,,,,,,,,,,,
December 2025,Uttar Dinajpur,,,,,,,,,,,,,78.44,,,,2.34,,,,,,,,,,,,39643.0,,,,,,,46945.0,,,,,,,,20775.0,,,,,,,,,29377.0,,,,,,,,,,,,
June 2021,Alipurduar,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,34.33,,,,,,,,,,,,,,12235.0,,,,,,,,,,,,4200.0,,,18881.0,,,2337.0,
June 2021,Bankura,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,19.45,,,,,,,,,,,,,,29110.0,,,,,,,,,,,,5661.0,,,47609.0,,,3056.0,
June 2021,Birbhum,,,,,,,,,,,,,,,,,,0.022,,,,,,,,,,,,,,8.54,,,,,,,,,,,,,,50988.0,,,,,,,,,,,,4352.0,,,56659.0,,,2046.0,
June 2021,Cooch Behar,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,37.76,,,,,,,,,,,,,,28810.0,,,,,,,,,,,,10879.0,,,45331.0,,,2180.0,
June 2021,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,29.11,,,,,,,,,,,,,,14598.0,,,,,,,,,,,,4250.0,,,21216.0,,,1311.0,
June 2021,Darjeeling,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,34.45,,,,,,,,,,,,,,3928.0,,,,,,,,,,,,1353.0,,,4586.0,,,512.0,
June 2021,Hooghly,,,,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,36.35,,,,,,,,,,,,,,19739.0,,,,,,,,,,,,7175.0,,,36913.0,,,2561.0,
June 2021,Howrah,,,,,,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,22.07,,,,,,,,,,,,,,23863.0,,,,,,,,,,,,5267.0,,,31717.0,,,2062.0,
June 2021,Jalpaiguri,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,36.81,,,,,,,,,,,,,,14989.0,,,,,,,,,,,,5518.0,,,32253.0,,,1610.0,
June 2021,Jhargram,,,,,,,,,,,,,,,,,,0.014,,,,,,,,,,,,,,11.48,,,,,,,,,,,,,,9400.0,,,,,,,,,,,,1079.0,,,15643.0,,,790.0,
June 2021,Kalimpong,,,,,,,,,,,,,,,,,,0.011,,,,,,,,,,,,,,40.43,,,,,,,,,,,,,,1880.0,,,,,,,,,,,,760.0,,,2486.0,,,205.0,
June 2021,Malda,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,29.36,,,,,,,,,,,,,,28051.0,,,,,,,,,,,,8235.0,,,51698.0,,,2905.0,
June 2021,Murshidabad,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,22.61,,,,,,,,,,,,,,31883.0,,,,,,,,,,,,7208.0,,,74242.0,,,2601.0,
June 2021,Nadia,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,20.69,,,,,,,,,,,,,,24190.0,,,,,,,,,,,,5004.0,,,44604.0,,,1847.0,
June 2021,North 24 Parganas,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,22.79,,,,,,,,,,,,,,38018.0,,,,,,,,,,,,8665.0,,,56786.0,,,3679.0,
June 2021,Paschim Bardhaman,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,,,,,7.87,,,,,,,,,,,,,,8257.0,,,,,,,,,,,,650.0,,,8156.0,,,456.0,
June 2021,Paschim Medinipur,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,,,,,12.63,,,,,,,,,,,,,,29762.0,,,,,,,,,,,,3758.0,,,55717.0,,,5877.0,
June 2021,Purba Bardhaman,,,,,,,,,,,,,,,,,,0.018,,,,,,,,,,,,,,11.52,,,,,,,,,,,,,,37805.0,,,,,,,,,,,,4357.0,,,46545.0,,,4026.0,
June 2021,Purba Medinipur,,,,,,,,,,,,,,,,,,0.019,,,,,,,,,,,,,,13.58,,,,,,,,,,,,,,43328.0,,,,,,,,,,,,5886.0,,,70593.0,,,6214.0,
June 2021,Purulia,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,15.23,,,,,,,,,,,,,,20472.0,,,,,,,,,,,,3117.0,,,33457.0,,,920.0,
June 2021,South 24 Parganas,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,33.69,,,,,,,,,,,,,,31893.0,,,,,,,,,,,,10744.0,,,65174.0,,,2707.0,
June 2021,Uttar Dinajpur,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,37.13,,,,,,,,,,,,,,13928.0,,,,,,,,,,,,5171.0,,,32218.0,,,1283.0,
June 2022,Alipurduar,,,,,,,,,,,,28.75,,,,,,,,1.18,,,,,,,,8159.0,,,,,,65.21,,,379.28,,,,,,3583.0,,,,,12512.0,,,,,,,,,,,,,,,,,
June 2022,Bankura,,,,,,,,,,,,9.79,,,,,,,,1.58,,,,,,,,5384.0,,,,,,17.06,,,727.21,,,,,,3520.0,,,,,31562.0,,,,,,,,,,,,,,,,,
June 2022,Birbhum,,,,,,,,,,,,14.82,,,,,,,,2.12,,,,,,,,9574.0,,,,,,18.59,,,1032.3,,,,,,8010.0,,,,,51497.0,,,,,,,,,,,,,,,,,
June 2022,Cooch Behar,,,,,,,,,,,,30.21,,,,,,,,1.04,,,,,,,,23181.0,,,,,,82.9,,,1056.75,,,,,,3390.0,,,,,27961.0,,,,,,,,,,,,,,,,,
June 2022,Dakshin Dinajpur,,,,,,,,,,,,8.88,,,,,,,,1.19,,,,,,,,3085.0,,,,,,20.32,,,317.96,,,,,,1774.0,,,,,15181.0,,,,,,,,,,,,,,,,,
June 2022,Darjeeling,,,,,,,,,,,,37.28,,,,,,,,1.61,,,,,,,,2851.0,,,,,,60.49,,,129.34,,,,,,723.0,,,,,4713.0,,,,,,,,,,,,,,,,,
June 2022,Hooghly,,,,,,,,,,,,22.75,,,,,,,,1.34,,,,,,,,12975.0,,,,,,42.37,,,688.23,,,,,,3506.0,,,,,30623.0,,,,,,,,,,,,,,,,,
June 2022,Howrah,,,,,,,,,,,,19.47,,,,,,,,1.45,,,,,,,,9601.0,,,,,,38.13,,,632.97,,,,,,2927.0,,,,,25181.0,,,,,,,,,,,,,,,,,
June 2022,Jalpaiguri,,,,,,,,,,,,33.86,,,,,,,,1.4,,,,,,,,12984.0,,,,,,68.55,,,661.3,,,,,,4231.0,,,,,18941.0,,,,,,,,,,,,,,,,,
June 2022,Jhargram,,,,,,,,,,,,20.8,,,,,,,,1.51,,,,,,,,4565.0,,,,,,37.95,,,236.88,,,,,,2007.0,,,,,12029.0,,,,,,,,,,,,,,,,,
June 2022,Kalimpong,,,,,,,,,,,,38.0,,,,,,,,1.82,,,,,,,,1442.0,,,,,,55.5,,,70.17,,,,,,382.0,,,,,2598.0,,,,,,,,,,,,,,,,,
June 2022,Kolkata,,,,,,,,,,,,100.0,,,,,,,,0.37,,,,,,,,184.0,,,,,,100.0,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,
June 2022,Malda,,,,,,,,,,,,11.32,,,,,,,,1.08,,,,,,,,8619.0,,,,,,28.56,,,807.46,,,,,,3254.0,,,,,30177.0,,,,,,,,,,,,,,,,,
June 2022,Murshidabad,,,,,,,,,,,,10.3,,,,,,,,1.07,,,,,,,,8828.0,,,,,,23.39,,,926.46,,,,,,6068.0,,,,,37750.0,,,,,,,,,,,,,,,,,
June 2022,Nadia,,,,,,,,,,,,7.31,,,,,,,,1.07,,,,,,,,5287.0,,,,,,19.61,,,605.07,,,,,,2390.0,,,,,26962.0,,,,,,,,,,,,,,,,,
June 2022,North 24 Parganas,,,,,,,,,,,,13.52,,,,,,,,1.05,,,,,,,,13032.0,,,,,,33.49,,,877.71,,,,,,5552.0,,,,,38911.0,,,,,,,,,,,,,,,,,
June 2022,Paschim Bardhaman,,,,,,,,,,,,14.88,,,,,,,,1.82,,,,,,,,1818.0,,,,,,16.99,,,141.82,,,,,,1131.0,,,,,10699.0,,,,,,,,,,,,,,,,,
June 2022,Paschim Medinipur,,,,,,,,,,,,21.32,,,,,,,,1.57,,,,,,,,13605.0,,,,,,37.09,,,967.96,,,,,,6387.0,,,,,36679.0,,,,,,,,,,,,,,,,,
June 2022,Purba Bardhaman,,,,,,,,,,,,12.41,,,,,,,,2.18,,,,,,,,9517.0,,,,,,22.14,,,946.21,,,,,,7079.0,,,,,42991.0,,,,,,,,,,,,,,,,,
June 2022,Purba Medinipur,,,,,,,,,,,,25.14,,,,,,,,2.12,,,,,,,,16883.0,,,,,,37.37,,,1624.07,,,,,,7820.0,,,,,45183.0,,,,,,,,,,,,,,,,,
June 2022,Purulia,,,,,,,,,,,,7.65,,,,,,,,1.09,,,,,,,,3801.0,,,,,,16.66,,,354.0,,,,,,2280.0,,,,,22821.0,,,,,,,,,,,,,,,,,
June 2022,South 24 Parganas,,,,,,,,,,,,19.08,,,,,,,,1.29,,,,,,,,15200.0,,,,,,37.87,,,1038.53,,,,,,5095.0,,,,,40136.0,,,,,,,,,,,,,,,,,
June 2022,Uttar Dinajpur,,,,,,,,,,,,13.22,,,,,,,,1.16,,,,,,,,4622.0,,,,,,37.84,,,517.3,,,,,,2455.0,,,,,12213.0,,,,,,,,,,,,,,,,,
June 2023,Alipurduar,,,,,,,,,,,,15.37,,,,,,,,1.2,,,,,,,,7292.0,,,,,,64.2,,,,,21702.0,,,,2581.0,,,,,,11359.0,,,,,,,,,,,,,,,,
June 2023,Bankura,,,,,,,,,,,,9.56,,,,,,,,1.54,,,,,,,,8587.0,,,,,,25.05,,,,,53335.0,,,,5058.0,,,,,,34275.0,,,,,,,,,,,,,,,,
June 2023,Birbhum,,,,,,,,,,,,7.8,,,,,,,,2.27,,,,,,,,6747.0,,,,,,13.83,,,,,64601.0,,,,6502.0,,,,,,48800.0,,,,,,,,,,,,,,,,
June 2023,Cooch Behar,,,,,,,,,,,,20.35,,,,,,,,1.11,,,,,,,,24871.0,,,,,,94.48,,,,,52920.0,,,,5156.0,,,,,,26325.0,,,,,,,,,,,,,,,,
June 2023,Dakshin Dinajpur,,,,,,,,,,,,9.21,,,,,,,,0.68,,,,,,,,8303.0,,,,,,51.17,,,,,24249.0,,,,1558.0,,,,,,16225.0,,,,,,,,,,,,,,,,
June 2023,Darjeeling,,,,,,,,,,,,16.92,,,,,,,,1.52,,,,,,,,2936.0,,,,,,48.62,,,,,6749.0,,,,1164.0,,,,,,6039.0,,,,,,,,,,,,,,,,
June 2023,Hooghly,,,,,,,,,,,,12.79,,,,,,,,1.41,,,,,,,,11284.0,,,,,,36.21,,,,,45510.0,,,,5405.0,,,,,,31160.0,,,,,,,,,,,,,,,,
June 2023,Howrah,,,,,,,,,,,,13.31,,,,,,,,1.65,,,,,,,,9242.0,,,,,,30.92,,,,,35135.0,,,,4425.0,,,,,,29888.0,,,,,,,,,,,,,,,,
June 2023,Jalpaiguri,,,,,,,,,,,,18.03,,,,,,,,1.36,,,,,,,,12730.0,,,,,,61.93,,,,,35683.0,,,,3188.0,,,,,,20557.0,,,,,,,,,,,,,,,,
June 2023,Jhargram,,,,,,,,,,,,8.73,,,,,,,,1.49,,,,,,,,3157.0,,,,,,23.39,,,,,17356.0,,,,3064.0,,,,,,13500.0,,,,,,,,,,,,,,,,
June 2023,Kalimpong,,,,,,,,,,,,22.85,,,,,,,,1.78,,,,,,,,1454.0,,,,,,50.75,,,,,3200.0,,,,513.0,,,,,,2865.0,,,,,,,,,,,,,,,,
June 2023,Kolkata,,,,,,,,,,,,100.0,,,,,,,,0.92,,,,,,,,293.0,,,,,,100.0,,,,,2911.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
June 2023,Malda,,,,,,,,,,,,8.5,,,,,,,,0.95,,,,,,,,11148.0,,,,,,34.84,,,,,55621.0,,,,4037.0,,,,,,31998.0,,,,,,,,,,,,,,,,
June 2023,Murshidabad,,,,,,,,,,,,9.67,,,,,,,,0.97,,,,,,,,17810.0,,,,,,50.18,,,,,80631.0,,,,8756.0,,,,,,35493.0,,,,,,,,,,,,,,,,
June 2023,Nadia,,,,,,,,,,,,10.99,,,,,,,,1.02,,,,,,,,12340.0,,,,,,38.22,,,,,53833.0,,,,3426.0,,,,,,32284.0,,,,,,,,,,,,,,,,
June 2023,North 24 Parganas,,,,,,,,,,,,10.89,,,,,,,,1.15,,,,,,,,16955.0,,,,,,35.6,,,,,65307.0,,,,6365.0,,,,,,47629.0,,,,,,,,,,,,,,,,
June 2023,Paschim Bardhaman,,,,,,,,,,,,7.06,,,,,,,,1.98,,,,,,,,1244.0,,,,,,10.95,,,,,10339.0,,,,606.0,,,,,,11361.0,,,,,,,,,,,,,,,,
June 2023,Paschim Medinipur,,,,,,,,,,,,8.87,,,,,,,,1.55,,,,,,,,10713.0,,,,,,21.73,,,,,60947.0,,,,8035.0,,,,,,49304.0,,,,,,,,,,,,,,,,
June 2023,Purba Bardhaman,,,,,,,,,,,,10.7,,,,,,,,2.38,,,,,,,,8470.0,,,,,,18.22,,,,,56480.0,,,,6610.0,,,,,,46500.0,,,,,,,,,,,,,,,,
June 2023,Purba Medinipur,,,,,,,,,,,,10.69,,,,,,,,2.32,,,,,,,,13989.0,,,,,,26.25,,,,,76607.0,,,,11017.0,,,,,,53285.0,,,,,,,,,,,,,,,,
June 2023,Purulia,,,,,,,,,,,,8.02,,,,,,,,1.01,,,,,,,,5973.0,,,,,,25.75,,,,,37803.0,,,,2445.0,,,,,,23200.0,,,,,,,,,,,,,,,,
June 2023,South 24 Parganas,,,,,,,,,,,,13.32,,,,,,,,1.19,,,,,,,,21915.0,,,,,,45.71,,,,,78132.0,,,,6022.0,,,,,,47942.0,,,,,,,,,,,,,,,,
June 2023,Uttar Dinajpur,,,,,,,,,,,,10.93,,,,,,,,0.69,,,,,,,,10672.0,,,,,,58.97,,,,,36493.0,,,,2612.0,,,,,,18096.0,,,,,,,,,,,,,,,,
June 2024,Alipurduar,,,,,,2.23,2.7,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,20417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Bankura,,,,,,1.7,1.85,,,,,,,,,,,,,,,,1.86,,,,,,,,,,,,,,,40098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Birbhum,,,,,,1.9,2.11,,,,,,,,,,,,,,,,1.66,,,,,,,,,,,,,,,61911.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Cooch Behar,,,,,,2.52,3.1,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,50568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Dakshin Dinajpur,,,,,,1.64,1.91,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,21755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Darjeeling,,,,,,2.57,3.06,,,,,,,,,,,,,,,,4.14,,,,,,,,,,,,,,,16970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Hooghly,,,,,,1.98,2.32,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,41732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Howrah,,,,,,2.07,2.29,,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,33601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Jalpaiguri,,,,,,2.35,2.69,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,33659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Jhargram,,,,,,1.75,2.14,,,,,,,,,,,,,,,,1.57,,,,,,,,,,,,,,,14067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Kalimpong,,,,,,2.9,3.59,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,3031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Kolkata,,,,,,1.31,1.26,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,1679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Malda,,,,,,1.72,1.98,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,52044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Murshidabad,,,,,,1.53,1.77,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,75449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Nadia,,,,,,1.57,1.89,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,42119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,North 24 Parganas,,,,,,1.71,1.95,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,59040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Paschim Medinipur,,,,,,2.06,2.58,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,55852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Purba Medinipur,,,,,,2.82,3.35,,,,,,,,,,,,,,,,2.18,,,,,,,,,,,,,,,70518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Purulia,,,,,,1.28,1.44,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,20854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,South 24 Parganas,,,,,,1.73,2.04,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,60857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Uttar Dinajpur,,,,,,1.72,2.08,,,,,,,,,,,,,,,,1.76,,,,,,,,,,,,,,,33534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Alipurduar,,,,18697.0,20652.0,,,,,,,,,,,,,,,,,,,,,,18325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Bankura,,,,44079.0,46851.0,,,,,,,,,,,,,,,,,,,,,,38089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Birbhum,,,,51104.0,55233.0,,,,,,,,,,,,,,,,,,,,,,52963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Cooch Behar,,,,47424.0,49992.0,,,,,,,,,,,,,,,,,,,,,,47364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Dakshin Dinajpur,,,,21400.0,22036.0,,,,,,,,,,,,,,,,,,,,,,20403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Darjeeling,,,,6603.0,7089.0,,,,,,,,,,,,,,,,,,,,,,6020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Hooghly,,,,42626.0,46864.0,,,,,,,,,,,,,,,,,,,,,,38016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Howrah,,,,30471.0,32825.0,,,,,,,,,,,,,,,,,,,,,,29231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Jalpaiguri,,,,40064.0,42807.0,,,,,,,,,,,,,,,,,,,,,,40984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Jhargram,,,,14286.0,15836.0,,,,,,,,,,,,,,,,,,,,,,13204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Kalimpong,,,,2974.0,3154.0,,,,,,,,,,,,,,,,,,,,,,2753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Kolkata,,,,959.0,1544.0,,,,,,,,,,,,,,,,,,,,,,1005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Malda,,,,47148.0,52499.0,,,,,,,,,,,,,,,,,,,,,,46429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Murshidabad,,,,63347.0,67450.0,,,,,,,,,,,,,,,,,,,,,,67304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Nadia,,,,46887.0,51892.0,,,,,,,,,,,,,,,,,,,,,,41273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,North 24 Parganas,,,,59033.0,67130.0,,,,,,,,,,,,,,,,,,,,,,53514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Paschim Medinipur,,,,48057.0,55134.0,,,,,,,,,,,,,,,,,,,,,,48395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Purba Medinipur,,,,61068.0,64125.0,,,,,,,,,,,,,,,,,,,,,,61830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Purulia,,,,26945.0,30248.0,,,,,,,,,,,,,,,,,,,,,,25458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,South 24 Parganas,,,,69467.0,75136.0,,,,,,,,,,,,,,,,,,,,,,65841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Uttar Dinajpur,,,,32253.0,36978.0,,,,,,,,,,,,,,,,,,,,,,29932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2019,Alipurduar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2019,Bankura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28786.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2019,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2019,Cooch Behar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2019,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
