district,period,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Katni,March 2017,49.93,204528,409599
Khargone,March 2017,125.63,484743,385861
Mandla,March 2017,35.26,88897,252113
Mandsaur,March 2017,74.5,286583,384667
Morena,March 2017,60.74,225651,371512
Narmadapuram,March 2017,91.7,480740,524275
Narsinghpur,March 2017,93.02,248688,267345
Neemuch,March 2017,60.11,174938,291014
Panna,March 2017,39.19,82768,211217
Raisen,March 2017,135.45,379169,279933
Rajgarh,March 2017,112.17,302334,269535
Ratlam,March 2017,66.47,400265,602194
Rewa,March 2017,56.25,409851,728674
Sagar,March 2017,51.25,397844,776249
Satna,March 2017,36.56,280341,766773
Sehore,March 2017,115.97,344326,296900
Seoni,March 2017,56.32,165838,294464
Shahdol,March 2017,31.61,106972,338375
Shajapur,March 2017,120.75,240632,199279
Sheopur,March 2017,92.75,82737,89209
Shivpuri,March 2017,52.55,178571,339844
Sidhi,March 2017,104.77,243265,232181
Singrauli,March 2017,130.6,664405,508723
Tikamgarh,March 2017,36.41,111753,306949
Ujjain,March 2017,66.93,489016,730662
Umaria,March 2017,23.83,41725,175088
Vidisha,March 2017,111.16,417375,375475
Agar Malwa,March 2020,178.32,139731,78361
Alirajpur,March 2020,47.79,59788,125118
Anuppur,March 2020,22.8,80063,351201
Ashoknagar,March 2020,120.77,213550,176823
Balaghat,March 2020,48.94,243347,497238
Barwani,March 2020,101.49,334142,329243
Betul,March 2020,49.95,339046,678802
Bhind,March 2020,41.09,159178,387380
Bhopal,March 2020,87.45,7542456.08,8624748.41
Burhanpur,March 2020,82.8,256833,310167
Chhatarpur,March 2020,44.15,271391,614760
Chhindwara,March 2020,59.54,553821,930107
Damoh,March 2020,60.86,212063,348421
Datia,March 2020,68.84,175705,255253
Dewas,March 2020,119.42,668464,559748
Dhar,March 2020,103.61,808807,780617
Dindori,March 2020,33.9,41660,122874
East Nimar,March 2020,103.8,458490,441723
Guna,March 2020,96.2,365849,380285
Gwalior,March 2020,50.1,1157942.63,2311384.84
Harda,March 2020,152.34,308493,202506
Indore,March 2020,93.45,6000032,6420749
Jabalpur,March 2020,67.88,1960070.3,2887353.69
Jhabua,March 2020,81.36,172361,211837
Katni,March 2020,47.88,271227,566439
Khargone,March 2020,137.89,853744,619132
Mandla,March 2020,40.08,123967,309319
Mandsaur,March 2020,106.58,493035,462595
Morena,March 2020,54.8,240174,438236
Narmadapuram,March 2020,89.2,632900,709563
Narsinghpur,March 2020,98.06,418302,426580
Neemuch,March 2020,78.91,289803,367273
Niwari,March 2020,39.49,38171,96651
Panna,March 2020,41.21,108984,264477
Raisen,March 2020,163.8,598534,365412
Rajgarh,March 2020,147.91,477509,322840
Ratlam,March 2020,100.59,648934,645110
Rewa,March 2020,32.76,375571,1146308
Sagar,March 2020,55.86,587047,1050881
Satna,March 2020,42.2,425860,1009247
Sehore,March 2020,140.3,565766,403250
Seoni,March 2020,65.01,253897,390538
Shahdol,March 2020,29.16,137685,472099
Shajapur,March 2020,171.64,468813,273132
Sheopur,March 2020,91.42,106984,117028
Shivpuri,March 2020,57.71,247654,429142
Sidhi,March 2020,37.42,135951,363339
Singrauli,March 2020,21.8,183485,841772
Tikamgarh,March 2020,35.61,109500,307500
Ujjain,March 2020,103.41,1278907,1236713
Umaria,March 2020,26.56,62840,236553
Vidisha,March 2020,125.3,573591,457772
Agar Malwa,December 2021,269.68,253700,94100
Alirajpur,December 2021,57.99,77400,133500
Anuppur,December 2021,25.29,106400,420600
Ashoknagar,December 2021,119.45,247700,207400
Balaghat,December 2021,56.68,308400,544100
Barwani,December 2021,135.2,396800,293500
Betul,December 2021,57.91,436200,753200
Bhind,December 2021,44.55,201500,452300
Bhopal,December 2021,59.18,7145200,12074800
Burhanpur,December 2021,106.69,269800,252800
Chhatarpur,December 2021,48.24,339200,703300
Chhindwara,December 2021,70.08,728300,1039300
Damoh,December 2021,63.79,254400,398900
Datia,December 2021,73.37,193300,263400
Dewas,December 2021,139.96,810500,579100
Dhar,December 2021,127.41,964900,757300
Dindori,December 2021,44.51,66400,149200
East Nimar,December 2021,143.63,546400,380400
Guna,December 2021,104.98,434900,414300
Gwalior,December 2021,54.01,1389900,2573400
Harda,December 2021,147.09,345800,235100
Indore,December 2021,77.09,6950100,9015400
Jabalpur,December 2021,70.97,2359700,3325000
Jhabua,December 2021,94,220400,234500
Katni,December 2021,55.63,350900,630800
Khargone,December 2021,161.86,968400,598300
Mandla,December 2021,42.91,156600,365000
Mandsaur,December 2021,124.75,622000,498600
Morena,December 2021,62.46,318400,509800
Narmadapuram,December 2021,95.01,801700,843800
Narsinghpur,December 2021,100.71,488700,485200
Neemuch,December 2021,88.98,380400,427500
Niwari,December 2021,27.46,28300,103200
Panna,December 2021,47.11,136200,289100
Raisen,December 2021,175.22,710300,405400
Rajgarh,December 2021,205.89,580800,282100
Ratlam,December 2021,112.48,803600,714400
Rewa,December 2021,35.72,465200,1302300
Sagar,December 2021,57.44,681800,1187000
Satna,December 2021,46.12,531700,1152700
Sehore,December 2021,163.17,689100,422300
Seoni,December 2021,69.79,315800,452500
Shahdol,December 2021,32,153400,479300
Shajapur,December 2021,205.81,525100,255100
Sheopur,December 2021,93.88,128200,136600
Shivpuri,December 2021,65.07,304500,468000
Sidhi,December 2021,30.83,120900,392200
Singrauli,December 2021,14.22,177400,1247600
Tikamgarh,December 2021,45.45,160400,352900
Ujjain,December 2021,126,1520800,1207000
Umaria,December 2021,27.29,73900,271000
Vidisha,December 2021,119.2,662600,555900
Agar Malwa,March 2023,204.32,306068,149801
Alirajpur,March 2023,63.64,102555,161140
Anuppur,March 2023,26.98,127589,472984
Ashoknagar,March 2023,122.34,300074,245286
Balaghat,March 2023,62.93,391873,622692
Barwani,March 2023,117.35,496830,423384
Betul,March 2023,58.81,512790,871950
Bhind,March 2023,51.51,257775,500425
Bhopal,March 2023,69.6,8903793,12792039
Burhanpur,March 2023,85.04,314662,370004
Chhatarpur,March 2023,51.24,407990,796203
Chhindwara,March 2023,73.55,872833,1186748
Damoh,March 2023,65.48,293768,448638
Datia,March 2023,74.38,226028,303875
Dewas,March 2023,120.29,963274,800811
Dhar,March 2023,106.36,1109013,1042672
Dindori,March 2023,47.25,81882,173296
East Nimar,March 2023,108.57,624630,575326
Guna,March 2023,106.5,513986,482638
Gwalior,March 2023,56.26,1688442,3001009
Harda,March 2023,135.84,408546,300752
Indore,March 2023,88.69,8176762,9219924
Jabalpur,March 2023,69.06,2738419,3965187
Jhabua,March 2023,108.83,283919,260891
Katni,March 2023,63.04,451389,715996
Khargone,March 2023,124.01,1086086,875808
Mandla,March 2023,45.81,197997,432235
Mandsaur,March 2023,118.21,753353,637326
Morena,March 2023,78.31,446440,570101
Narmadapuram,March 2023,94.25,926988,983502
Narsinghpur,March 2023,99.2,559041,563534
Neemuch,March 2023,97.09,452067,465617
Niwari,March 2023,33,40768,123524
Panna,March 2023,48.46,162194,334712
Raisen,March 2023,157.99,806155,510256
Rajgarh,March 2023,167.12,703020,420668
Ratlam,March 2023,123.72,999046,807534
Rewa,March 2023,39.6,577604,1458512
Sagar,March 2023,58.57,824889,1408420
Satna,March 2023,49.03,661458,1349189
Sehore,March 2023,129.69,794071,612288
Seoni,March 2023,72.18,385542,534147
Shahdol,March 2023,39.4,219805,557907
Shajapur,March 2023,182.96,606243,331346
Sheopur,March 2023,94.71,149248,157577
Shivpuri,March 2023,68.48,379777,554585
Sidhi,March 2023,35.52,156895,441758
Singrauli,March 2023,18.31,248875,1359062
Tikamgarh,March 2023,47.7,187873,393874
Ujjain,March 2023,105.43,1784956,1693012
Umaria,March 2023,30.54,92360,302421
Vidisha,March 2023,117.49,761922,648486
Agar Malwa,September 2023,206.1,330694.93,160454.37
Alirajpur,September 2023,63.6,108709.05,170939.35
Anuppur,September 2023,27.39,134596.03,491432.92
Ashoknagar,September 2023,119.18,314219.18,263653.86
Balaghat,September 2023,66.13,430533.57,651046.94
Barwani,September 2023,113.56,499405.35,439775.53
Betul,September 2023,62.22,568175.65,913124.81
Bhind,September 2023,51.52,277431.45,538512.06
Bhopal,September 2023,70.09,9708145.56,13850968.28
Burhanpur,September 2023,80.89,327689.21,405104.69
Chhatarpur,September 2023,51.57,436138.48,845780.02
Chhindwara,September 2023,77.14,951754.38,1233765.75
Damoh,September 2023,67.03,322817.48,481585.14
Datia,September 2023,73.14,237665.7,324956.28
Dewas,September 2023,119.75,1071952.86,895130.94
Dhar,September 2023,110.11,1239779.98,1125915.62
Dindori,September 2023,49.16,88459.47,179941.15
East Nimar,September 2023,106.39,646481.45,607663.26
Guna,September 2023,107.31,547848.88,510541.31
Gwalior,September 2023,58.58,1881228.32,3211199.71
Harda,September 2023,117.39,,
Indore,September 2023,93.56,9222017.33,9856804.98
Jabalpur,September 2023,69.87,2878883.36,4120407.72
Jhabua,September 2023,114.43,312354.85,272969.93
Katni,September 2023,63.23,481033.48,760793.32
Khargone,September 2023,125.42,1093320.7,871731.09
Mandla,September 2023,48.61,214787.24,441898.17
Mandsaur,September 2023,124.82,783629.8,627820.7
Morena,September 2023,75.78,470074.11,620292.78
Narmadapuram,September 2023,84.65,941668.08,1112462.88
Narsinghpur,September 2023,96.9,582021.98,600659.55
Neemuch,September 2023,100.85,494506.26,490321.46
Niwari,September 2023,31.46,47262.73,150244.18
Panna,September 2023,45.77,165293.1,361165.41
Raisen,September 2023,138.8,811777.26,584868.2
Rajgarh,September 2023,162.88,744259.53,456929.82
Ratlam,September 2023,127.0,1086992.03,855931.4
Rewa,September 2023,40.53,631871.58,1558988.17
Sagar,September 2023,54.04,844881.6,1563504.65
Satna,September 2023,49.6,703236.19,1417702.64
Sehore,September 2023,112.59,824389.85,732215.97
Seoni,September 2023,75.98,417610.3,549600.07
Shahdol,September 2023,40.35,236683.91,586645.67
Shajapur,September 2023,171.69,635132.41,369932.34
Sheopur,September 2023,98.15,159675.77,162681.81
Shivpuri,September 2023,69.66,400425.86,574865.73
Sidhi,September 2023,38.95,180150.36,462486.12
Singrauli,September 2023,17.46,262353.07,1502539.93
Tikamgarh,September 2023,48.19,192201.89,398840.58
Ujjain,September 2023,105.48,1934803.73,1834262.61
Umaria,September 2023,31.11,98278.87,315945.06
Vidisha,September 2023,113.46,806864.95,711148.29
Agar Malwa,December 2023,218.59,344453,157577
Alirajpur,December 2023,64.72,108039,166941
Anuppur,December 2023,27.79,142859,514120
Ashoknagar,December 2023,125.05,329755,263705
Balaghat,December 2023,67.29,447265,664655
Barwani,December 2023,117.85,514255,436372
Betul,December 2023,65.34,605851,927228
Bhind,December 2023,53.5,291913,545655
Bhopal,December 2023,70.16,9757119,13906447
Burhanpur,December 2023,84.56,339853,401907
Chhatarpur,December 2023,53.7,461309,859016
Chhindwara,December 2023,78.98,980025,1240839
Damoh,December 2023,70.2,338084,481620
Datia,December 2023,73.29,245130,334479
Dewas,December 2023,125.6,1116613,889010
Dhar,December 2023,115.13,1280950,1112599
Dindori,December 2023,50.86,89324,175624
East Nimar,December 2023,113.03,686648,607502
Guna,December 2023,86.75,570657,657838
Gwalior,December 2023,60.69,1986408,3272802
Harda,December 2023,131.26,441617,336445
Indore,December 2023,96.7,9677708,10007632
Jabalpur,December 2023,71.16,2940788,4132857
Jhabua,December 2023,119.38,322624,270260
Katni,December 2023,63.69,496250,779170
Khargone,December 2023,131.37,1148846,874513
Mandla,December 2023,49.37,223500,452680
Mandsaur,December 2023,132.18,827119,625742
Morena,December 2023,79.16,496609,627355
Narmadapuram,December 2023,92.75,1010978,1089988
Narsinghpur,December 2023,102.37,617637,603316
Neemuch,December 2023,105.61,521533,493818
Niwari,December 2023,32.8,51034,155596
Panna,December 2023,46.68,171222,366823
Raisen,December 2023,147.65,856996,580425
Rajgarh,December 2023,169.48,777904,458997
Ratlam,December 2023,129.37,1115959,862624
Rewa,December 2023,42.53,674366,1585721
Sagar,December 2023,59.8,906865,1516378
Satna,December 2023,50.9,736633,1447224
Sehore,December 2023,122.21,866129,708715
Seoni,December 2023,82.47,458831,556364
Shahdol,December 2023,44.94,265919,591679
Shajapur,December 2023,179.79,662568,368520
Sheopur,December 2023,96.4,164243,170381
Shivpuri,December 2023,70.44,415560,589989
Sidhi,December 2023,40.19,190591,474167
Singrauli,December 2023,19.43,276369,1422314
Tikamgarh,December 2023,49.06,198600,404821
Ujjain,December 2023,109.89,2006554,1825906
Umaria,December 2023,32.77,105254,321186
Vidisha,December 2023,119.1,837506,703169
Agar Malwa,March 2024,211.3,361959.64,171302.0
Alirajpur,March 2024,60.55,109335.2,180580.44
Anuppur,March 2024,27.64,148085.89,535757.44
Ashoknagar,March 2024,121.52,343408.31,282601.15
Balaghat,March 2024,62.84,443484.91,705791.09
Barwani,March 2024,115.57,543384.47,470190.86
Betul,March 2024,64.45,623737.05,967722.09
Bhind,March 2024,55.17,311909.58,565393.83
Bhopal,March 2024,70.37,9801763.96,13928848.54
Burhanpur,March 2024,83.39,351921.6,422037.74
Chhatarpur,March 2024,52.18,478683.28,917385.37
Chhindwara,March 2024,74.77,979466.39,1309979.09
Damoh,March 2024,68.4,346328.07,506307.78
Datia,March 2024,71.44,252591.16,353592.7
Dewas,March 2024,124.75,1145584.62,918279.3
Dhar,March 2024,108.58,1305019.85,1201903.92
Dindori,March 2024,45.5,88765.58,195072.46
East Nimar,March 2024,112.13,713592.02,636415.41
Guna,March 2024,110.43,596761.19,540411.41
Gwalior,March 2024,62.11,2101778.32,3384011.36
Harda,March 2024,136.48,,
Indore,March 2024,96.34,10175449.28,10562301.77
Jabalpur,March 2024,71.7,3078555.02,4293575.75
Jhabua,March 2024,114.18,334299.89,292783.24
Katni,March 2024,65.72,535879.97,815420.33
Khargone,March 2024,129.44,1203858.53,930078.61
Mandla,March 2024,46.31,225841.13,487693.39
Mandsaur,March 2024,127.33,844513.98,663248.81
Morena,March 2024,80.93,526587.71,650659.89
Narmadapuram,March 2024,96.53,1079021.47,1117829.15
Narsinghpur,March 2024,99.05,629930.88,635956.22
Neemuch,March 2024,103.21,544258.48,527308.28
Niwari,March 2024,32.61,53880.56,165206.35
Panna,March 2024,43.8,175572.76,400847.56
Raisen,March 2024,147.09,904542.5,614960.49
Rajgarh,March 2024,165.11,820792.41,497131.73
Ratlam,March 2024,126.33,1154232.61,913653.32
Rewa,March 2024,41.79,702851.16,1681714.72
Sagar,March 2024,58.31,962580.25,1650696.33
Satna,March 2024,49.67,771432.44,1553053.2
Sehore,March 2024,123.64,908330.94,734655.82
Seoni,March 2024,78.44,471228.4,600771.92
Shahdol,March 2024,43.8,275338.33,628678.52
Shajapur,March 2024,181.38,696820.19,384185.93
Sheopur,March 2024,92.82,170967.71,184187.36
Shivpuri,March 2024,70.24,441158.86,628095.01
Sidhi,March 2024,39.08,198656.1,508311.21
Singrauli,March 2024,19.48,292024.78,1499021.95
Tikamgarh,March 2024,48.24,208268.32,431722.14
Ujjain,March 2024,108.22,2109364.74,1949129.68
Umaria,March 2024,32.19,108857,338206.87
Vidisha,March 2024,119.4,876216.89,733848.98
Agar Malwa,June 2024,221.91,369807.64,166647.98
Alirajpur,June 2024,63.59,112591.95,177073.11
Anuppur,June 2024,28.19,152745.67,541830.39
Ashoknagar,June 2024,124.47,359267.15,288639.75
Balaghat,June 2024,65.39,460400.88,704059.72
Barwani,June 2024,116.9,539153.83,461204.98
Betul,June 2024,65.35,631672.84,966626.79
Bhind,June 2024,55.34,317245.52,573267.99
Bhopal,June 2024,75.03,10361635.04,13809283.48
Burhanpur,June 2024,84.09,354919.89,422093.52
Chhatarpur,June 2024,52.1,484827.21,930550.81
Chhindwara,June 2024,78.06,855505.57,1095949.64
Damoh,June 2024,69.7,355333.36,509797.73
Datia,June 2024,73.12,260143.39,355793.76
Dewas,June 2024,126.79,1182104.25,932311.89
Dhar,June 2024,114.57,1356058.8,1183614.6
Dindori,June 2024,48.55,93971.48,193542.42
East Nimar,June 2024,112.85,719248.74,637353.42
Guna,June 2024,114.1,613232.23,537459.89
Gwalior,June 2024,62.42,2137437.56,3424525.44
Harda,June 2024,135.52,,
Indore,June 2024,98.43,10321191.16,10485990.37
Jabalpur,June 2024,71.2,3115090.26,4375090.54
Jhabua,June 2024,121.16,352915.96,291276.85
Katni,June 2024,67.34,547597.61,813206.83
Khargone,June 2024,132.7,1224112.51,922474.73
Maihar,June 2024,55.72,181608.34,325916.63
Mandla,June 2024,47.97,232389.6,484449.29
Mandsaur,June 2024,134.18,868437.79,647216.24
Mauganj,June 2024,27.08,57446.28,212105.39
Morena,June 2024,83.55,547157.52,654855.11
Narmadapuram,June 2024,95.7,1070227.24,1118294.72
Narsinghpur,June 2024,100.06,639145.88,638786.74
Neemuch,June 2024,109.16,564520.93,517155.14
Niwari,June 2024,32.95,57931.46,175812.86
Pandhurna,June 2024,75.9,152997.14,201577.36
Panna,June 2024,43.49,174542.69,401332.94
Raisen,June 2024,143.85,898957.64,624942.39
Rajgarh,June 2024,170.46,832328.65,488271.64
Ratlam,June 2024,130.26,1168876.97,897320.04
Rewa,June 2024,46.36,778938.27,1680325.17
Sagar,June 2024,58.74,963293.32,1639999.25
Satna,June 2024,44.59,597869.67,1340793.62
Sehore,June 2024,117.46,909801.89,774583.17
Seoni,June 2024,79.66,477712.43,599708.91
Shahdol,June 2024,44.49,282696.16,635410.71
Shajapur,June 2024,177.73,700586.87,394197.11
Sheopur,June 2024,93.77,174567.46,186171.52
Shivpuri,June 2024,70.77,442113.33,624733.71
Sidhi,June 2024,39.74,201831.6,507849.56
Singrauli,June 2024,18.71,289074.71,1545054.48
Tikamgarh,June 2024,49.5,207007.03,418178.32
Ujjain,June 2024,107.4,2098936.04,1954361.0
Umaria,June 2024,32.68,110712.77,338738.34
Vidisha,June 2024,117.6,884054.86,751740.24
Agar Malwa,September 2024,222.76,384488,172605
Alirajpur,September 2024,65.94,117244,177812
Anuppur,September 2024,29,157881,544427
Ashoknagar,September 2024,128.99,367425,284845
Balaghat,September 2024,67.57,498985,738429
Barwani,September 2024,110.76,523453,472591
Betul,September 2024,66.95,654853,978058
Bhind,September 2024,55.98,328867,587506
Bhopal,September 2024,74.62,10741960,14395215
Burhanpur,September 2024,82.09,365113,444770
Chhatarpur,September 2024,52.65,500303,950313
Chhindwara,September 2024,79.99,886920,1108845
Damoh,September 2024,70,364982,521409
Datia,September 2024,74.96,267875,357345
Dewas,September 2024,127.14,1227360,965397
Dhar,September 2024,116.33,1401186,1204541
Dindori,September 2024,50.62,98501,194573
East Nimar,September 2024,112.55,730977,649459
Guna,September 2024,115.74,627038,541769
Gwalior,September 2024,62.57,2199984,3516166
Harda,September 2024,124.8,468696,375570
Indore,September 2024,98.18,10681597,10879134
Jabalpur,September 2024,71.58,3190400,4457185
Jhabua,September 2024,124.03,362971,292648
Katni,September 2024,66.66,557069,835709
Khargone,September 2024,136.53,1263568,925463
Maihar,September 2024,55.47,186499,336230
Mandla,September 2024,49.29,240466,487905
Mandsaur,September 2024,137.98,905161,656000
Mauganj,September 2024,25.82,55860,216334
Morena,September 2024,82.16,550080,669518
Narmadapuram,September 2024,88.74,1056924,1190991
Narsinghpur,September 2024,98.17,655916,668168
Neemuch,September 2024,106.33,564110,530523
Niwari,September 2024,32.56,59477,182665
Pandhurna,September 2024,78.89,162682,206226
Panna,September 2024,44.23,178794,404213
Raisen,September 2024,148.46,916473,617306
Rajgarh,September 2024,174.25,858997,492976
Ratlam,September 2024,130.52,1202909,921652
Rewa,September 2024,46.61,703560,1509565
Sagar,September 2024,59.85,1008144,1684475
Satna,September 2024,47.24,618060,1308295
Sehore,September 2024,118.07,948779,803606
Seoni,September 2024,84.07,498974,593490
Shahdol,September 2024,45.48,293300,644921
Shajapur,September 2024,183.26,728865,397731
Sheopur,September 2024,99.48,181295,182248
Shivpuri,September 2024,72.11,455701,631952
Sidhi,September 2024,41.75,213325,510914
Singrauli,September 2024,18.09,298729,1651605
Tikamgarh,September 2024,50.18,214465,427367
Ujjain,September 2024,111.7,2210486,1978952
Umaria,September 2024,33.78,116779,345685
Vidisha,September 2024,122.48,920690,751700
Agar Malwa,December 2024,227.48,395878,174025
Alirajpur,December 2024,65.11,117131,179894
Anuppur,December 2024,29.72,164485,553472
Ashoknagar,December 2024,127.32,375904,295241
Balaghat,December 2024,71.1,517131,727284
Barwani,December 2024,117.19,561838,479421
Betul,December 2024,68.65,686729,1000272
Bhind,December 2024,58.21,346061,594515
Bhopal,December 2024,78.25,11120633,14212353
Burhanpur,December 2024,86.12,373567,433792
Chhatarpur,December 2024,53.38,517467,969373
Chhindwara,December 2024,79.28,910009,1147896
Damoh,December 2024,70.11,372452,531226
Datia,December 2024,77.09,279870,363055
Dewas,December 2024,133.29,1261982,946784
Dhar,December 2024,118.6,1455420,1227144
Dindori,December 2024,51.6,103804,201159
East Nimar,December 2024,114.1,752904,659849
Guna,December 2024,115.71,639470,552634
Gwalior,December 2024,65.25,2305778,3533665
Harda,December 2024,130.26,486813,373723
Indore,December 2024,102.12,11089032,10859262
Jabalpur,December 2024,73.12,3261586,4460868
Jhabua,December 2024,126.5,375644,296948
Katni,December 2024,66.36,567482,855158
Khargone,December 2024,135.22,1288490,952892
Maihar,December 2024,55.85,190948,341906
Mandla,December 2024,49.32,254419,515860
Mandsaur,December 2024,135.99,925045,680213
Mauganj,December 2024,24.47,54250,221722
Morena,December 2024,85.5,578760,676950
Narmadapuram,December 2024,94.12,1117719,1187553
Narsinghpur,December 2024,99.5,683753,687222
Neemuch,December 2024,107.88,582154,539638
Niwari,December 2024,32.83,61110,186117
Pandhurna,December 2024,77.7,183424,236075
Panna,December 2024,44.81,185725,414504
Raisen,December 2024,150.86,930998,617115
Rajgarh,December 2024,177.14,892260,503692
Ratlam,December 2024,135.02,1250586,926221
Rewa,December 2024,48.93,754798,1542481
Sagar,December 2024,60.44,1040227,1721188
Satna,December 2024,50.69,639529,1261543
Sehore,December 2024,124.85,976376,782028
Seoni,December 2024,84.6,522130,617208
Shahdol,December 2024,46.23,305770,661453
Shajapur,December 2024,185.68,749119,403455
Sheopur,December 2024,105.64,191006,180806
Shivpuri,December 2024,73.01,469838,643549
Sidhi,December 2024,41.57,217416,522981
Singrauli,December 2024,18.85,305653,1621851
Tikamgarh,December 2024,51.11,223149,436604
Ujjain,December 2024,114.42,2269337,1983281
Umaria,December 2024,35.05,123039,351078
Vidisha,December 2024,125.05,947232,757499
Agar Malwa,March 2025,215.62,409296,189822
Alirajpur,March 2025,60.7,116490,191917
Anuppur,March 2025,28.95,168653,582601
Ashoknagar,March 2025,125.89,395092,313828
Balaghat,March 2025,66,509759,772365
Barwani,March 2025,117.65,595206,505918
Betul,March 2025,65.57,688834,1050498
Bhind,March 2025,59.33,362274,610579
Bhopal,March 2025,76.79,11498598,14974253
Burhanpur,March 2025,85.76,378571,441419
Chhatarpur,March 2025,51.91,535119,1030853
Chhindwara,March 2025,77.23,924498,1197036
Damoh,March 2025,66.84,367994,550579
Datia,March 2025,75.18,287764,382760
Dewas,March 2025,130.67,1288572,986135
Dhar,March 2025,115.19,1472961,1278700
Dindori,March 2025,48.24,102966,213454
East Nimar,March 2025,110.65,776270,701571
Guna,March 2025,116.99,671473,573946
Gwalior,March 2025,67.03,2431550,3627709
Harda,March 2025,138.24,507604,367181
Indore,March 2025,101.16,11434376,11303431
Jabalpur,March 2025,69.45,3276318,4717583
Jhabua,March 2025,119.2,378973,317922
Katni,March 2025,69.08,597415,864797
Khargone,March 2025,126.8,1360541,1072975
Maihar,March 2025,53.3,195990,367726
Mandla,March 2025,47.26,254943,539478
Mandsaur,March 2025,127.84,928150,726034
Mauganj,March 2025,23.4,55748,238271
Morena,March 2025,86.24,605785,702467
Narmadapuram,March 2025,98.99,1175921,1187899
Narsinghpur,March 2025,96.53,695910,720926
Neemuch,March 2025,102.92,587628,570941
Niwari,March 2025,32.42,63822,196879
Pandhurna,March 2025,73.08,174877,239311
Panna,March 2025,42.24,189305,448116
Raisen,March 2025,149.64,964337,644451
Rajgarh,March 2025,171.24,925671,540581
Ratlam,March 2025,131.73,1269561,963783
Rewa,March 2025,48.04,781131,1625968
Sagar,March 2025,60.57,1088588,1797274
Satna,March 2025,50.08,659124,1316204
Sehore,March 2025,124.25,1007444,810819
Seoni,March 2025,80.57,529529,657208
Shahdol,March 2025,45.04,314066,697336
Shajapur,March 2025,182.22,770007,422573
Sheopur,March 2025,98.82,193431,195746
Shivpuri,March 2025,72.84,494988,679566
Sidhi,March 2025,40.32,226418,561484
Singrauli,March 2025,15.38,312420,2031290
